year,title,doc
2013,A mixed method approach to collegiate aviation self-assessment of G-load on landing: Pilot perception versus reality,<title>A mixed method approach to collegiate aviation self-assessment of G-load on landing: Pilot perception versus reality</title>
2013,Communication and Flexibility in Aircrews Facing Unexpected and Risky Situations,<title>Communication and Flexibility in Aircrews Facing Unexpected and Risky Situations</title>
2013,Safety culture: An assessment of a collegiate aviation program,<title>Safety culture: An assessment of a collegiate aviation program</title>
2013,Flight crew training: Multi-crew pilot license training versus traditional training and its relationship with job performance,<title>Flight crew training: Multi-crew pilot license training versus traditional training and its relationship with job performance</title>
2013,Sociological Support for the Job Placement of Students and Graduates of Higher Educational Institutions: The Experience of the Moscow Institute of Aviation and Technology (MATI),<title>Sociological Support for the Job Placement of Students and Graduates of Higher Educational Institutions: The Experience of the Moscow Institute of Aviation and Technology (MATI)</title>
2013,"Towards a Theory of Mind Wandering in Relation to Task Type, Behavioral Responses, and Respective Adverse Consequences in Piloted Vehicles","<title>Towards a Theory of Mind Wandering in Relation to Task Type, Behavioral Responses, and Respective Adverse Consequences in Piloted Vehicles</title>"
2013,Drones Over Homeland: Expansion of Scope and Lag in Governance,<title>Drones Over Homeland: Expansion of Scope and Lag in Governance</title>
2013,Virtual Superheroes: Using Superpowers in Virtual Reality to Encourage Prosocial Behavior,<title>Virtual Superheroes: Using Superpowers in Virtual Reality to Encourage Prosocial Behavior</title>
2013,Developing a Training Program for the Traffic Alert and Collision Avoidance System in Context,<title>Developing a Training Program for the Traffic Alert and Collision Avoidance System in Context</title>
2013,Development of a Pilot Selection System for a Midwestern University Aviation Program,<title>Development of a Pilot Selection System for a Midwestern University Aviation Program</title>
2012,Measurement and Modeling of Display Clutter in Advanced Flight Deck Technologies,<title>Measurement and Modeling of Display Clutter in Advanced Flight Deck Technologies</title>
2012,Assessing the security benefits of a trusted traveler program in the presence of attempted attacker exploitation and compromise,<title>Assessing the security benefits of a trusted traveler program in the presence of attempted attacker exploitation and compromise</title>
2012,Pilots as Weather Briefers: The Direct Use of Aviation Weather Products by General Aviation Pilots,<title>Pilots as Weather Briefers: The Direct Use of Aviation Weather Products by General Aviation Pilots</title>
2012,Civil pilots' stress and coping behaviors: A comparison between Taiwanese and non-Taiwanese aviators,<title>Civil pilots' stress and coping behaviors: A comparison between Taiwanese and non-Taiwanese aviators</title>
2012,Safety reporting system as a foundation for a safety culture,<title>Safety reporting system as a foundation for a safety culture</title>
2012,Pilot Salient Identity Influencing Critical Incident Sensemaking in General Aviation Organizational Safety,<title>Pilot Salient Identity Influencing Critical Incident Sensemaking in General Aviation Organizational Safety</title>
2012,Maternal occupational exposure to organic solvents during early pregnancy and risks of neural tube defects and orofacial clefts,<title>Maternal occupational exposure to organic solvents during early pregnancy and risks of neural tube defects and orofacial clefts</title>
2012,Eye-tracking analysis of Next Generation Air Transportation System (NextGen) taxiing and departure concepts,<title>Eye-tracking analysis of Next Generation Air Transportation System (NextGen) taxiing and departure concepts</title>
2012,An Accessible Cognitive Modeling Tool for Evaluation of Pilot-Automation Interaction,<title>An Accessible Cognitive Modeling Tool for Evaluation of Pilot-Automation Interaction</title>
2012,Factors of Non-Persistence in Civilian Helicopter Flight Training: A Narrative Inquiry of Pilot Attrition,<title>Factors of Non-Persistence in Civilian Helicopter Flight Training: A Narrative Inquiry of Pilot Attrition</title>
2012,"Naturalistic Study Examining the Data/Frame Model of Sensemaking by Assessing Experts in Complex, Time-Pressured Aviation Domains","<title>Naturalistic Study Examining the Data/Frame Model of Sensemaking by Assessing Experts in Complex, Time-Pressured Aviation Domains</title>"
2012,Exploring Consumer Perceptions of Airline Revenue Enhancing Practices,<title>Exploring Consumer Perceptions of Airline Revenue Enhancing Practices</title>
2012,Using multisensory cues to facilitate air traffic management,<title>Using multisensory cues to facilitate air traffic management</title>
2012,Effect of Novel Adaptive Displays on Pilot Performance and Workload,<title>Effect of Novel Adaptive Displays on Pilot Performance and Workload</title>
2012,Using Model Checking to Explore Checklist-Guided Pilot Behavior,<title>Using Model Checking to Explore Checklist-Guided Pilot Behavior</title>
2012,Mental health in the low income Pacific Island Countries - Time for change in paradigms,<title>Mental health in the low income Pacific Island Countries - Time for change in paradigms</title>
2012,Personality styles of student naval aviators: An analysis of DiSC styles in flight training and attrition rates,<title>Personality styles of student naval aviators: An analysis of DiSC styles in flight training and attrition rates</title>
2012,"Comparing the effects of simulated, intelligent audible checklists and analog checklists in simulated flight","<title>Comparing the effects of simulated, intelligent audible checklists and analog checklists in simulated flight</title>"
2012,Cognitive errors detected in anaesthesiology: A literature review and pilot study,<title>Cognitive errors detected in anaesthesiology: A literature review and pilot study</title>
2012,Aviation mental health: Psychological implications for air transportation,<title>Aviation mental health: Psychological implications for air transportation</title>
2012,How we explain misfortune: Psychological implications for mental health in aviation professionals,<title>How we explain misfortune: Psychological implications for mental health in aviation professionals</title>
2012,Aviation psychology in a developing country: South Africa,<title>Aviation psychology in a developing country: South Africa</title>
2012,Restricted sleep and negative affective states in commercial pilots during short haul operations,<title>Restricted sleep and negative affective states in commercial pilots during short haul operations</title>
2012,Local Theories versus Comprehensive Architectures: The Cognitive Science Jigsaw Puzzle,<title>Local Theories versus Comprehensive Architectures: The Cognitive Science Jigsaw Puzzle</title>
2012,Team task analysis: Differentiating between tasks using team relatedness and team workflow as metrics of team task interdependence,<title>Team task analysis: Differentiating between tasks using team relatedness and team workflow as metrics of team task interdependence</title>
2012,Critique and proposed revision of crew resource management (CRM): A new paradigm,<title>Critique and proposed revision of crew resource management (CRM): A new paradigm</title>
2012,Burnout syndrome and Brazilian civil aviation: A short essay on the focus on prevention,<title>Burnout syndrome and Brazilian civil aviation: A short essay on the focus on prevention</title>
2012,Cognition and asynchronous distribution between human and machine building accidents,<title>Cognition and asynchronous distribution between human and machine building accidents</title>
2012,Could mild hypoxia impair pilot decision making in emergencies?,<title>Could mild hypoxia impair pilot decision making in emergencies?</title>
2012,"Designing human-machine interfaces for naturalistic perceptions, decisions and actions occurring in emergency situations","<title>Designing human-machine interfaces for naturalistic perceptions, decisions and actions occurring in emergency situations</title>"
2012,The occupational health and safety of flight attendants,<title>The occupational health and safety of flight attendants</title>
2012,Above-real-time training (ARTT) improves transfer to a simulated flight control task,<title>Above-real-time training (ARTT) improves transfer to a simulated flight control task</title>
2012,Effective rotations: Action effects determine the interplay of mental and manual rotations,<title>Effective rotations: Action effects determine the interplay of mental and manual rotations</title>
2012,Not Just a Student Problem: Plagiarism in Aviation Academic Research,<title>Not Just a Student Problem: Plagiarism in Aviation Academic Research</title>
2012,The Creation and Validation of a Pilot Selection System for a Midwestern University Aviation Department,<title>The Creation and Validation of a Pilot Selection System for a Midwestern University Aviation Department</title>
2012,Utah Valley University Aviation Science Course Development Training,<title>Utah Valley University Aviation Science Course Development Training</title>
2012,Training Effectiveness of Whole Body Flight Simulator Motion: A Comprehensive Meta-Analysis,<title>Training Effectiveness of Whole Body Flight Simulator Motion: A Comprehensive Meta-Analysis</title>
2012,Using Biofeedback while Immersed in a Stressful Videogame Increases the Effectiveness of Stress Management Skills in Soldiers,<title>Using Biofeedback while Immersed in a Stressful Videogame Increases the Effectiveness of Stress Management Skills in Soldiers</title>
2012,Conflict Resolution Maneuvers in Air Traffic Control: Investigation of Operational Data,<title>Conflict Resolution Maneuvers in Air Traffic Control: Investigation of Operational Data</title>
2012,Helicopter Parents and Landing Pad Kids: Intense Parental Support of Grown Children,<title>Helicopter Parents and Landing Pad Kids: Intense Parental Support of Grown Children</title>
2012,Cognitive-Adaptation Training for Improving Performance and Stress Management of Air Force Pilots,<title>Cognitive-Adaptation Training for Improving Performance and Stress Management of Air Force Pilots</title>
2012,Evaluation of a Virtual Reality Parachute Training Simulator: Assessing Learning in an Off-Course Augmented Feedback Training Schedule,<title>Evaluation of a Virtual Reality Parachute Training Simulator: Assessing Learning in an Off-Course Augmented Feedback Training Schedule</title>
2012,The Effects of Spatial Disorientation on Cognitive Processing,<title>The Effects of Spatial Disorientation on Cognitive Processing</title>
2012,Safety Locus of Control and Accident Involvement Among Army Aviators,<title>Safety Locus of Control and Accident Involvement Among Army Aviators</title>
2012,The Need of Leader-Subordinate Reciprocal Dyadic Trust to Build the Subordinate's Trust in the Organization: The Case of Korean Air Pilots,<title>The Need of Leader-Subordinate Reciprocal Dyadic Trust to Build the Subordinate's Trust in the Organization: The Case of Korean Air Pilots</title>
2012,Burnout and Work Engagement Among Cabin Crew: Antecedents and Consequences,<title>Burnout and Work Engagement Among Cabin Crew: Antecedents and Consequences</title>
2012,The Effects of Scenario-Based Training on Pilots' Use of an Emergency Whole-Plane Parachute,<title>The Effects of Scenario-Based Training on Pilots' Use of an Emergency Whole-Plane Parachute</title>
2012,"The Influence of Automation Support on Performance, Workload, and Situation Awareness of Air Traffic Controllers","<title>The Influence of Automation Support on Performance, Workload, and Situation Awareness of Air Traffic Controllers</title>"
2012,"Multimodal cueing: The relative benefits of the auditory, visual, and tactile channels in complex environments","<title>Multimodal cueing: The relative benefits of the auditory, visual, and tactile channels in complex environments</title>"
2012,Refresher Training for Air Traffic Controllers: Is It Adequate to Meet the Challenges of Emergencies and Abnormal Situations?,<title>Refresher Training for Air Traffic Controllers: Is It Adequate to Meet the Challenges of Emergencies and Abnormal Situations?</title>
2012,Using Item Response Theory to Evaluate Measurement Precision of Selection Tests at the French Pilot Training,<title>Using Item Response Theory to Evaluate Measurement Precision of Selection Tests at the French Pilot Training</title>
2012,Eye Movements as an Indicator of Situation Awareness in a Flight Simulator Experiment,<title>Eye Movements as an Indicator of Situation Awareness in a Flight Simulator Experiment</title>
2012,Effects of Pilot Experience on Recall of Information From Graphical Weather Displays,<title>Effects of Pilot Experience on Recall of Information From Graphical Weather Displays</title>
2012,Time to Solo as a Predictor of Performance in Civilian Flight Training,<title>Time to Solo as a Predictor of Performance in Civilian Flight Training</title>
2012,Exploring Stressors in air Traffic Controllers in South Africa,<title>Exploring Stressors in air Traffic Controllers in South Africa</title>
2012,Assessing the impact of a dynamic intervention within a perceptual discrimination training module,<title>Assessing the impact of a dynamic intervention within a perceptual discrimination training module</title>
2012,High-fidelity weather simulation for improved flight training and investigation of pilots' weather-related decisions,<title>High-fidelity weather simulation for improved flight training and investigation of pilots' weather-related decisions</title>
2012,Examining the Effect of Instructor Experience on Flight Training Time,<title>Examining the Effect of Instructor Experience on Flight Training Time</title>
2012,Executive function and physical performance on flight control devices during exposure to normobaric hypoxia,<title>Executive function and physical performance on flight control devices during exposure to normobaric hypoxia</title>
2012,Airline pilot non-flight related activities during cruise flight and perceptions on their safety effects,<title>Airline pilot non-flight related activities during cruise flight and perceptions on their safety effects</title>
2012,The effects of expertise and information location on change blindness detection within an aviation domain,<title>The effects of expertise and information location on change blindness detection within an aviation domain</title>
2012,Factors Affecting the Career Advancement of Female Air Traffic Controllers in the South African Air Traffic Control Industry,<title>Factors Affecting the Career Advancement of Female Air Traffic Controllers in the South African Air Traffic Control Industry</title>
2012,Aeronautical decision making in Helicopter Emergency Medical Systems (HEMS): The effect of mission orientation and local base finances on the go/no go decision,<title>Aeronautical decision making in Helicopter Emergency Medical Systems (HEMS): The effect of mission orientation and local base finances on the go/no go decision</title>
2012,Four-Dimensional Modeling and Simulation for use in Interactive Airspace Training Materials,<title>Four-Dimensional Modeling and Simulation for use in Interactive Airspace Training Materials</title>
2012,Pilots Performance and Flight Safety: Flight Physiology in Unpressurized Aircraft Cabins,<title>Pilots Performance and Flight Safety: Flight Physiology in Unpressurized Aircraft Cabins</title>
2012,Effects of Head-Down Bed Rest on the Executive Functions and Emotional Response,<title>Effects of Head-Down Bed Rest on the Executive Functions and Emotional Response</title>
2012,"Exploring the Effects of Working Memory Capacity, Attention and Expertise on Situation Awareness in a Flight Simulation Environment","<title>Exploring the Effects of Working Memory Capacity, Attention and Expertise on Situation Awareness in a Flight Simulation Environment</title>"
2012,The impact of cooperative learning in collegiate aviation education on student engagement in a diverse community college environment,<title>The impact of cooperative learning in collegiate aviation education on student engagement in a diverse community college environment</title>
2012,Helicopter Flight Modeling and Robust Autonomous Control with Uncertain Dynamics,<title>Helicopter Flight Modeling and Robust Autonomous Control with Uncertain Dynamics</title>
2012,The Design and Development of a Best Practice Use-Of-Force Training Model for the Private Security Industry,<title>The Design and Development of a Best Practice Use-Of-Force Training Model for the Private Security Industry</title>
2012,Automation Technology and Sense of Control: A Window on Human Agency,<title>Automation Technology and Sense of Control: A Window on Human Agency</title>
2012,A Study Into Situation Management Applied to Time-Critical Decision-Making in Aviation Security,<title>A Study Into Situation Management Applied to Time-Critical Decision-Making in Aviation Security</title>
2011,Variance as a measure of performance in an aviation context,<title>Variance as a measure of performance in an aviation context</title>
2011,Individual differences in the effect of vertical separation on conflict detection in air traffic control,<title>Individual differences in the effect of vertical separation on conflict detection in air traffic control</title>
2011,Complementary information distribution to improve team performance in military helicopter operations: An experimental study,<title>Complementary information distribution to improve team performance in military helicopter operations: An experimental study</title>
2011,Assessing the effectiveness of bridge resource management training,<title>Assessing the effectiveness of bridge resource management training</title>
2011,Recovery training in simulator improves performance and psychophysiological state of pilots during simulated and real visual flight rules flight,<title>Recovery training in simulator improves performance and psychophysiological state of pilots during simulated and real visual flight rules flight</title>
2011,A coherent impression of the pilots' situation awareness: Studying relevant human factors tools,<title>A coherent impression of the pilots' situation awareness: Studying relevant human factors tools</title>
2011,"Erratum to ""Executive functions and pilot characteristics predict flight simulator performance in general aviation pilots"" (The International Journal of Aviation Psychology, 21, 3, 217-234)","<title>Erratum to ""Executive functions and pilot characteristics predict flight simulator performance in general aviation pilots"" (The International Journal of Aviation Psychology, 21, 3, 217-234)</title>"
2011,"Effects of Working Memory, Attention, and Expertise on Pilots’ Situation Awareness","<title>Effects of Working Memory, Attention, and Expertise on Pilots’ Situation Awareness</title>"
2011,Executive functions and pilot characteristics predict flight simulator performance in general aviation pilots,<title>Executive functions and pilot characteristics predict flight simulator performance in general aviation pilots</title>
2011,Dietary effects on cognition and pilots' flight performance,<title>Dietary effects on cognition and pilots' flight performance</title>
2011,Online single-pilot resource management: Assessing the feasibility of computer-based safety training,<title>Online single-pilot resource management: Assessing the feasibility of computer-based safety training</title>
2011,Hazardous events and accident involvement by military and civilian pilots,<title>Hazardous events and accident involvement by military and civilian pilots</title>
2011,Prediction in situation awareness: Confidence bias and underlying cognitiv abilities,<title>Prediction in situation awareness: Confidence bias and underlying cognitiv abilities</title>
2011,Introducing a subject matter expert-based utility analysis approach to assessing the utility of organizational interventions such as crew resource management training,<title>Introducing a subject matter expert-based utility analysis approach to assessing the utility of organizational interventions such as crew resource management training</title>
2011,The Importance of motion cues in spatial disorientation training for VFR-pilots,<title>The Importance of motion cues in spatial disorientation training for VFR-pilots</title>
2011,Introduction to the special issue on cognitive systems,<title>Introduction to the special issue on cognitive systems</title>
2011,Supporting 4D trajectory revisions on the flight deck: Design of a human-machine interface,<title>Supporting 4D trajectory revisions on the flight deck: Design of a human-machine interface</title>
2011,Performance of helicopter pilots during inadvertent flight into instrument meteorological conditions,<title>Performance of helicopter pilots during inadvertent flight into instrument meteorological conditions</title>
2011,Effects of online training on aircrew monitoring behaviors: A field study,<title>Effects of online training on aircrew monitoring behaviors: A field study</title>
2011,The Influence of Service Quality and Satisfaction in Consumer Behaviour Intention: An Empirical Study of A Charter Airline,<title>The Influence of Service Quality and Satisfaction in Consumer Behaviour Intention: An Empirical Study of A Charter Airline</title>
2011,Neurocognitive Predictors of Flight Performance of Successful Solo Flight Students,<title>Neurocognitive Predictors of Flight Performance of Successful Solo Flight Students</title>
2011,The Predictive Validity of a Psychological Test Battery for the Selection of Cadet Pilots in a Commercial Airline,<title>The Predictive Validity of a Psychological Test Battery for the Selection of Cadet Pilots in a Commercial Airline</title>
2011,The effects of weather recognition training on general aviation pilot situation assessment and tactical decision making when confronted with adverse weather conditions,<title>The effects of weather recognition training on general aviation pilot situation assessment and tactical decision making when confronted with adverse weather conditions</title>
2011,The Blackout in Britain and Germany During the Second World War,<title>The Blackout in Britain and Germany During the Second World War</title>
2011,Abstracts of Select Papers Presented at the 42nd Annual Meeting of the Association for Applied Psychophysiology and Biofeedback,<title>Abstracts of Select Papers Presented at the 42nd Annual Meeting of the Association for Applied Psychophysiology and Biofeedback</title>
2011,A Comparison of Heart Rate Variability Between Fighter and Non-Fighter Military Aircrew in Relation to Job Stress,<title>A Comparison of Heart Rate Variability Between Fighter and Non-Fighter Military Aircrew in Relation to Job Stress</title>
2011,"Counterheroism, Common Knowledge, and Ergonomics: Concepts from Aviation That Could Improve Patient Safety","<title>Counterheroism, Common Knowledge, and Ergonomics: Concepts from Aviation That Could Improve Patient Safety</title>"
2011,A mixed methods study of designated pilot examiners experiences with Advanced Display Technology and technology advanced aircraft,<title>A mixed methods study of designated pilot examiners experiences with Advanced Display Technology and technology advanced aircraft</title>
2011,Reward and Uncertainty Favor Risky Decision-Making in Pilots: Evidence from Cardiovascular and Oculometric Measurements,<title>Reward and Uncertainty Favor Risky Decision-Making in Pilots: Evidence from Cardiovascular and Oculometric Measurements</title>
2011,Pilot knowledge of automated flight controls: Implications for designing training based on adult learning principles,<title>Pilot knowledge of automated flight controls: Implications for designing training based on adult learning principles</title>
2011,Pilot weather decision making and the influence of passenger pressure,<title>Pilot weather decision making and the influence of passenger pressure</title>
2011,Air traffic controllers' performance in advance air traffic management system: Part I-performance results,<title>Air traffic controllers' performance in advance air traffic management system: Part I-performance results</title>
2011,Factors Leading to Human Error in Commercial Aviation Line Maintenance,<title>Factors Leading to Human Error in Commercial Aviation Line Maintenance</title>
2011,A Theory of False Cognitive Expectancies in Airline Pilots,<title>A Theory of False Cognitive Expectancies in Airline Pilots</title>
2011,Deriving pilots' knowledge structures for weather information: An evaluation of elicitation techniques,<title>Deriving pilots' knowledge structures for weather information: An evaluation of elicitation techniques</title>
2011,Systems change in transport control: Applications of cognitive work analysis,<title>Systems change in transport control: Applications of cognitive work analysis</title>
2011,Psychology must learn a lesson from fraud case,<title>Psychology must learn a lesson from fraud case</title>
2011,"Filming the flying scenes in top gun - imagination, technology, art, and skill create an enduring hit","<title>Filming the flying scenes in top gun - imagination, technology, art, and skill create an enduring hit</title>"
2011,Construction method for aviation intelligent computer based training system,<title>Construction method for aviation intelligent computer based training system</title>
2011,"Terrorists brought down the plane!-No, actually it was a technical fault: Processing corrections of emotive information","<title>Terrorists brought down the plane!-No, actually it was a technical fault: Processing corrections of emotive information</title>"
2011,Thermal imaging as a lie detection tool at airports,<title>Thermal imaging as a lie detection tool at airports</title>
2011,The effects of post-encoding stress on recognition memory: Examining the impact of skydiving in young men and women,<title>The effects of post-encoding stress on recognition memory: Examining the impact of skydiving in young men and women</title>
2011,A feedback intervention to increase digital and paper checklist performance in technically advanced aircraft simulation,<title>A feedback intervention to increase digital and paper checklist performance in technically advanced aircraft simulation</title>
2011,[The contribution of the Military Medical Academy to space exploration].,<title>[The contribution of the Military Medical Academy to space exploration].</title>
2011,"Promoting learning, memory, and transfer in a time-constrained, high hazard environment","<title>Promoting learning, memory, and transfer in a time-constrained, high hazard environment</title>"
2011,Rehearsal and verbal reminders in facilitating compliance with safety rules,<title>Rehearsal and verbal reminders in facilitating compliance with safety rules</title>
2011,"Impact of gender, age and experience of pilots on general aviation accidents","<title>Impact of gender, age and experience of pilots on general aviation accidents</title>"
2011,A new chapter in doctoral candidate training: The Helmholtz Space Life Sciences Research School (SpaceLife),<title>A new chapter in doctoral candidate training: The Helmholtz Space Life Sciences Research School (SpaceLife)</title>
2011,Somatic situation awareness: A model for sa acquisition under imminent threat and severe time stress,<title>Somatic situation awareness: A model for sa acquisition under imminent threat and severe time stress</title>
2011,[Methodology of medical and psychological analysis of the causes of the pilot's errors].,<title>[Methodology of medical and psychological analysis of the causes of the pilot's errors].</title>
2011,Study of honest signal: Bringing unconscious channel of communication into awareness through interactive prototype,<title>Study of honest signal: Bringing unconscious channel of communication into awareness through interactive prototype</title>
2011,A dynamic approach to the physiological-based assessment of resilience to stressful conditions,<title>A dynamic approach to the physiological-based assessment of resilience to stressful conditions</title>
2011,[Psychophysiological aspects of naval aviation pilots of the Navy in the operation of highly carrier-based aircraft].,<title>[Psychophysiological aspects of naval aviation pilots of the Navy in the operation of highly carrier-based aircraft].</title>
2011,Cognitive aging and flight performances in general aviation pilots,<title>Cognitive aging and flight performances in general aviation pilots</title>
2011,The nobel prize laureate - Father of anaphylaxis Charles-Robert Richet (1850-1935) and his anticancerous serum,<title>The nobel prize laureate - Father of anaphylaxis Charles-Robert Richet (1850-1935) and his anticancerous serum</title>
2011,[Diagnosis of reduction of reserves of mental adaptation in flight personnel and associated psycho-correction of preneurotic violations].,<title>[Diagnosis of reduction of reserves of mental adaptation in flight personnel and associated psycho-correction of preneurotic violations].</title>
2011,Teamwork and team training in the ICU: Where do the similarities with aviation end?,<title>Teamwork and team training in the ICU: Where do the similarities with aviation end?</title>
2011,"The impact of risk tolerance, risk perception and hazardous attitude on safety operation among airline pilots in China","<title>The impact of risk tolerance, risk perception and hazardous attitude on safety operation among airline pilots in China</title>"
2011,Individual psychological traits of pilots of civil aviation with cerebral atherosclerosis,<title>Individual psychological traits of pilots of civil aviation with cerebral atherosclerosis</title>
2011,Personality and motivational needs in Indian military pilots,<title>Personality and motivational needs in Indian military pilots</title>
2011,Experimental 'jet lag' causes sympathoexcitation via oxidative stress through AT 1 receptor in the brainstem,<title>Experimental 'jet lag' causes sympathoexcitation via oxidative stress through AT 1 receptor in the brainstem</title>
2011,Using Paper-and-Pencil Solutions to Assess Problem Solving Skill,<title>Using Paper-and-Pencil Solutions to Assess Problem Solving Skill</title>
2011,The criminalization of human error in aviation and healthcare: A review,<title>The criminalization of human error in aviation and healthcare: A review</title>
2011,World War II and other historical influences on the formation of the Ergonomics Research Society,<title>World War II and other historical influences on the formation of the Ergonomics Research Society</title>
2010,Transitioning to future air traffic management: Effects of imperfect automation on controller attention and performance,<title>Transitioning to future air traffic management: Effects of imperfect automation on controller attention and performance</title>
2010,Applying information theory to small groups assessment: Emotions and well-being at work,<title>Applying information theory to small groups assessment: Emotions and well-being at work</title>
2010,Elements related to teaching pilots aeronautical decision making,<title>Elements related to teaching pilots aeronautical decision making</title>
2010,Behavior detection as a commercial aviation security measure: Prospects and obstacles,<title>Behavior detection as a commercial aviation security measure: Prospects and obstacles</title>
2010,"Influence of the new way of Pilot - Controller Communication ""DATA LINK"" for Air Traffic Controller Performance in Europe","<title>Influence of the new way of Pilot - Controller Communication ""DATA LINK"" for Air Traffic Controller Performance in Europe</title>"
2010,Psychosocial factors that influence recovery in aircrew with musculoskeletal disabilities,<title>Psychosocial factors that influence recovery in aircrew with musculoskeletal disabilities</title>
2010,Create - A European initiative for incubation of upstream research projects,<title>Create - A European initiative for incubation of upstream research projects</title>
2010,Operational impact modelling of wind farms on radar,<title>Operational impact modelling of wind farms on radar</title>
2010,Lessons learned: Smoothing the transition from school to work,<title>Lessons learned: Smoothing the transition from school to work</title>
2010,Emergency mental health: Lessons learned from flight 3407,<title>Emergency mental health: Lessons learned from flight 3407</title>
2010,Reducing the presence of navigation risk eliminates strong environmental illusions,<title>Reducing the presence of navigation risk eliminates strong environmental illusions</title>
2010,"Pilot see, pilot do: Examining the predictors of pilots' risk management behaviour","<title>Pilot see, pilot do: Examining the predictors of pilots' risk management behaviour</title>"
2010,Five-factor model facet characteristics of non-aeronautically adaptable military aviators,<title>Five-factor model facet characteristics of non-aeronautically adaptable military aviators</title>
2010,Predictors of flight diversions and deaths for in-flight medical emergencies in commercial aviation,<title>Predictors of flight diversions and deaths for in-flight medical emergencies in commercial aviation</title>
2010,The mental health impact of volunteering in a disaster setting: A review,<title>The mental health impact of volunteering in a disaster setting: A review</title>
2010,"Health care, aviation, and ecosystems: A socio-natural systems perspective","<title>Health care, aviation, and ecosystems: A socio-natural systems perspective</title>"
2010,The influence of experience and organizational goals on leadership in the military cockpit,<title>The influence of experience and organizational goals on leadership in the military cockpit</title>
2010,Why don't pilots submit more pilot weather reports (PIREPs)?,<title>Why don't pilots submit more pilot weather reports (PIREPs)?</title>
2010,Downlink of TCAS resolution advisories: A means for closing the gap between pilot and controller?,<title>Downlink of TCAS resolution advisories: A means for closing the gap between pilot and controller?</title>
2010,Direct manipulation interfaces for in-Flight four-dimensional navigation planning,<title>Direct manipulation interfaces for in-Flight four-dimensional navigation planning</title>
2010,Evaluation of computer-based situation awareness training for general aviation pilots,<title>Evaluation of computer-based situation awareness training for general aviation pilots</title>
2010,The effects of time delay and physical motion on manual flight control: An in-flight and ground-based simulation experiment,<title>The effects of time delay and physical motion on manual flight control: An in-flight and ground-based simulation experiment</title>
2010,Investigation of air traffic controllers' response strategies in a free recall task: What makes auditory recall superior to visual recall?,<title>Investigation of air traffic controllers' response strategies in a free recall task: What makes auditory recall superior to visual recall?</title>
2010,Auditory alerts: An intelligent alert presentation system for civil aircraft,<title>Auditory alerts: An intelligent alert presentation system for civil aircraft</title>
2010,Field of view effects on pilot performance in flight,<title>Field of view effects on pilot performance in flight</title>
2010,Effects of a velocity-vector-based command augmentation system and synthetic vision system terrain portrayal and guidance symbology concepts on single-pilot performance,<title>Effects of a velocity-vector-based command augmentation system and synthetic vision system terrain portrayal and guidance symbology concepts on single-pilot performance</title>
2010,The impact of reweighting the AT-SAT subtests on group score differences,<title>The impact of reweighting the AT-SAT subtests on group score differences</title>
2010,Effect of caffeine on vigilance and cognitive performance during extended wakefulness,<title>Effect of caffeine on vigilance and cognitive performance during extended wakefulness</title>
2010,Pilot's Style of Learning and Thinking and Age-Related Declines in Visual Recall,<title>Pilot's Style of Learning and Thinking and Age-Related Declines in Visual Recall</title>
2010,"Surgical training using simulator: Virtual reality; Chirurgisches Training am Simulator: ""Virtual reality""","<title>Surgical training using simulator: Virtual reality; Chirurgisches Training am Simulator: ""Virtual reality""</title>"
2010,"Outsourcing aviation maintenance: Human factors implications, specifically for communications","<title>Outsourcing aviation maintenance: Human factors implications, specifically for communications</title>"
2010,Risk management in mental health: Applying lessons from commercial aviation,<title>Risk management in mental health: Applying lessons from commercial aviation</title>
2010,A quantitative investigation into perceived social status and impact on retention phenomenon within the aviation maintenance profession among student and regular members,<title>A quantitative investigation into perceived social status and impact on retention phenomenon within the aviation maintenance profession among student and regular members</title>
2010,The effects of workload on respiratory variables in simulated flight: A preliminary study,<title>The effects of workload on respiratory variables in simulated flight: A preliminary study</title>
2010,Safety in surgery: Is selection the missing link?,<title>Safety in surgery: Is selection the missing link?</title>
2010,"Safety culture as a contemporary healthcare construct: Theoretical review, research assessment, and translation to human resource management","<title>Safety culture as a contemporary healthcare construct: Theoretical review, research assessment, and translation to human resource management</title>"
2010,Cardiac data increase association between self-report and both expert ratings of task load and task performance in flight simulator tasks: An exploratory study,<title>Cardiac data increase association between self-report and both expert ratings of task load and task performance in flight simulator tasks: An exploratory study</title>
2010,The advancement of a new human factors report - 'The Unique Report' - facilitating flight crew auditing of performance/operations as part of an airline's safety management system,<title>The advancement of a new human factors report - 'The Unique Report' - facilitating flight crew auditing of performance/operations as part of an airline's safety management system</title>
2010,Trust and technology: The social foundations of aviation regulation,<title>Trust and technology: The social foundations of aviation regulation</title>
2010,Examining operational errors in the National Airspace System using temporal marker framework,<title>Examining operational errors in the National Airspace System using temporal marker framework</title>
2010,Qualitative phenomenological study of leadership perspectives in commercial airlines,<title>Qualitative phenomenological study of leadership perspectives in commercial airlines</title>
2010,Why CRM? Empirical and Theoretical Bases of Human Factors Training,<title>Why CRM? Empirical and Theoretical Bases of Human Factors Training</title>
2009,Psychophysiological evaluation of an antidisorientation training for visual flight rules pilots in a moving base simulator,<title>Psychophysiological evaluation of an antidisorientation training for visual flight rules pilots in a moving base simulator</title>
