year,country,affiliations,title,doc,topic
1973,United States,"Naval Operational Medicine Institute, Pensacola, FL, United States",Need satisfaction in the identification of the DOR,"<title>Need satisfaction in the identification of the DOR</title> <excerpt>The purpose of the present study was to determine whether student pilots who voluntarily drop from the program (DORs) and those who successfully complete training enter the flight program with different 'needs', and whether DORs and 'completers' differ in their evaluation of the program's ability to satisfy their needs. The needs that were explored were those of the Maslow hierarchy, including physiological, safety, and security, social, self esteem, and self actualization needs. Eighty seven aviation officer candidates were given a questionnaire designed to measure optimism, relevance, and importance in terms of the five needs described above.</excerpt>",61
1973,United States,"Survey Research Center, University of Michigan, Ann Arbor, Ann Arbor, MI, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States","Hypertension, Peptic Ulcer, and Diabetes in Air Traffic Controllers","<title>Hypertension, Peptic Ulcer, and Diabetes in Air Traffic Controllers</title> <excerpt>The hypothesis that certain diseases might be unduly frequent in journeyman air traffic controllers working in towers and centers has been tested by reviewing the aeromedical certification examinations on 4,325 traffic controllers and 8,435 second class airmen. The subjects were all men who had an examination in 1969 to 1970 and at least one previous examination not more than two years before that. Quite compelling evidence has been adduced to support the hypothesis with regard to hypertension; on peptic ulcer the evidence is moderately strong and for diabetes it is slight but suggestive.</excerpt>",16
1973,United States,"University of Oregon, Eugene, OR, United States",Color versus numeric coding in a keeping-track task: Performance under varying load conditions,<title>Color versus numeric coding in a keeping-track task: Performance under varying load conditions</title> <excerpt>Investigated the effectiveness of a color vs a numeric code in a modified keeping-track task-air traffic control. Altitude state was the coded variable. Ss were 36 male undergraduates.</excerpt>,63
1973,,,Utilization of human voice for estimation of man's emotional stress and state of attention.,<title>Utilization of human voice for estimation of man's emotional stress and state of attention.</title> <excerpt>[No abstract available].</excerpt>,103
1973,,,Happy Landing,<title>Happy Landing</title> <excerpt>[No abstract available].</excerpt>,104
1973,United Kingdom,"Royal Aircraft Establishment, Farnborough, Hampshire, United Kingdom",Neurological Aspects of Aviation Medicine: Neurological aspects of disorientation in aircrew,<title>Neurological Aspects of Aviation Medicine: Neurological aspects of disorientation in aircrew</title> <excerpt>[No abstract available].</excerpt>,12
1973,United Kingdom,"Royal Aircraft Establishment, Farnborough, Hampshire, United Kingdom",Neurological Aspects of Aviation Medicine: Studies on the nervous system of a pilot during the approach and landing of a transport aircraft,<title>Neurological Aspects of Aviation Medicine: Studies on the nervous system of a pilot during the approach and landing of a transport aircraft</title> <excerpt>[No abstract available].</excerpt>,12
1973,,,Some psychological and engineering aspects of the extravehicular activity of astronauts.,"<title>Some psychological and engineering aspects of the extravehicular activity of astronauts.</title> <excerpt>One of the main in-flight problems being fulfilled by astronauts is the preparation for and realization of egress into open space for the purpose of different kinds of extravehicular activity, such as, the performance of scientific experiments, repairing and dismantling operations etc. The astronaut's activity outside the space vehicle is the most difficult item of the space flight programme, which is complicated by a number of space factors affecting a man, viz dynamic weightlessness, work in a space suit under conditions of excessive pressure, difficulties of space orientation etc. The peculiarities mentioned require special training of the cosmonaut.</excerpt>",29
1973,United States,"American Airlines, Fort Worth, TX, United States",Psychologic and psychopathologic aspects of behavior during airline pilot transition training,"<title>Psychologic and psychopathologic aspects of behavior during airline pilot transition training</title> <excerpt>Methods of retraining airline pilots in the transition from one type of aircraft to another are described. The anxieties produced in training are reported to be similar to those of physiological stress and gravitational stress. The International Air Transport Medical Committee's model transition training scheme is described, and is reported to have effected a reduction in the pilots' liability to symptoms of stress.</excerpt>",57
1973,United States,"FAA Civil Aerospace Medical Institute, Oklahoma City, OK, United States",Self-estimates of distractibility as related to performance decrement on a task requiring sustained attention,"<title>Self-estimates of distractibility as related to performance decrement on a task requiring sustained attention</title> <excerpt>Increasing automation of air traffic control tasks may have the undesirable side effect of increased monotony as a result of the anticipated reduction in task demands. Since individuals who are unable to sustain attention under low task-load conditions would appear to be more likely to commit errors and be less able to handle a sudden emergency situation, it would seem desirable to examine the characteristics of individuals unable to sustain attention under these conditions. In the present study, 50 subjects performed a monotonous, but perceptually demanding task, for approximately 30 minutes without rest.</excerpt>",70
1973,United Kingdom,"Royal Aircraft Establishment, Farnborough, Hampshire, United Kingdom",The effects of core temperature elevation and thermal sensation on performance,"<title>The effects of core temperature elevation and thermal sensation on performance</title> <excerpt>A liquid-condition suit was used to obtain a state of raised body temperature in conjunction with skin temperatures compatible with sensations of thermal comfort. This condition produced a similar increase in speed of performance on a high-level reasoning test which has been found in previous experiments, but no decrement in score. Head cooling was included as a separate variable but appeared to have no additional effects on the speed or level of performance.</excerpt>",41
1972,,,California psychological inventory as a predictor of success in the naval flight program.,<title>California psychological inventory as a predictor of success in the naval flight program.</title> <excerpt>[No abstract available].</excerpt>,10
1972,,,Pilot incapacitation: an expression of convergent factors.,<title>Pilot incapacitation: an expression of convergent factors.</title> <excerpt>[No abstract available].</excerpt>,100
1972,,,Positioning of aircrews--ultima ratio of G protection?,<title>Positioning of aircrews--ultima ratio of G protection?</title> <excerpt>[No abstract available].</excerpt>,100
1972,,,Airline pilot incapacitation in flight.,<title>Airline pilot incapacitation in flight.</title> <excerpt>[No abstract available].</excerpt>,100
1972,United States,"Naval Operational Medicine Institute, Pensacola, FL, United States",Effects of instructions on measures of state and trait anxiety in flight students,"<title>Effects of instructions on measures of state and trait anxiety in flight students</title> <excerpt>Administered the State-Trait Anxiety Inventory twice to 134 flight students during their routine entrance aviation physical examination. Ss were lower in trait anxiety and higher in state anxiety than a group of 253 previously tested male college students. However, with an induced anxiety act, both state and trait anxiety scores were significantly lower than the scores obtained during the initial administration of the test.</excerpt>",13
1972,,,Psychiatric and psychological research in the Navy before World War II.,<title>Psychiatric and psychological research in the Navy before World War II.</title> <excerpt>[No abstract available].</excerpt>,88
1972,,,Medical factors in unlimited class air racing accidents.,<title>Medical factors in unlimited class air racing accidents.</title> <excerpt>[No abstract available].</excerpt>,28
1972,,,Psychosocial reconstruction inventory: a postdictal instrument in aircraft accident investigation.,<title>Psychosocial reconstruction inventory: a postdictal instrument in aircraft accident investigation.</title> <excerpt>[No abstract available].</excerpt>,28
1972,,,Task of a medical department in civil aviation.,<title>Task of a medical department in civil aviation.</title> <excerpt>[No abstract available].</excerpt>,12
1972,,,Desynchronization of body temperature and performance circadian rhythm as a result of outgoing and homegoing transmeridian flights.,<title>Desynchronization of body temperature and performance circadian rhythm as a result of outgoing and homegoing transmeridian flights.</title> <excerpt>[No abstract available].</excerpt>,62
1972,United Kingdom,"Royal Herbert Hospital, London, United Kingdom",Medical Aspects of Aerospace Travel: Nychthemeral Rhythms in Long-Distance Flights [Abstract],<title>Medical Aspects of Aerospace Travel: Nychthemeral Rhythms in Long-Distance Flights [Abstract]</title> <excerpt>[No abstract available].</excerpt>,62
1972,United States,"Department of Psychiatry, University of Pennsylvania, Philadelphia, PA, United States",Random living schedule: Psychological effects in man,"<title>Random living schedule: Psychological effects in man</title> <excerpt>In order to determine whether regularity of environmental and living schedules in man is necessary for normal psychological functioning, subjects lived on random schedules for 14 consecutive days. No impairment of cognitive or personality functions was detected. The results suggest that individual differences in subjects' ability to adjust their sleep to a random schedule may be determined in part by personality factors.</excerpt>",62
1972,United Kingdom,"Laboratory of Experimental Psychology, University of Sussex, Brighton, East Sussex, United Kingdom",SELECTIVE ATTENTION AND PERFORMANCE IN DANGEROUS ENVIRONMENTS,"<title>SELECTIVE ATTENTION AND PERFORMANCE IN DANGEROUS ENVIRONMENTS</title> <excerpt>Evidence on human performance in dangerous environments is reviewed and suggests that danger reduces efficiency, except in the case of experienced subjects. Perceptual narrowing is shown to be one source of decrement. It is suggested that danger increases the subject's arousal level which influences performance by producing a narrowing of attention.</excerpt>",70
1972,,,Human thresholds for perceiving sudden changes in atmospheric pressure.,<title>Human thresholds for perceiving sudden changes in atmospheric pressure.</title> <excerpt>[No abstract available].</excerpt>,23
1972,,,Apparatus for programmed oral administration of drugs to large primates in altered environments.,<title>Apparatus for programmed oral administration of drugs to large primates in altered environments.</title> <excerpt>[No abstract available].</excerpt>,14
1972,,,Modifications of living schedules and circadian rhythms with special reference to performance.,<title>Modifications of living schedules and circadian rhythms with special reference to performance.</title> <excerpt>[No abstract available].</excerpt>,62
1972,,,Attitudes and motivations of air traffic controllers in terminal areas.,<title>Attitudes and motivations of air traffic controllers in terminal areas.</title> <excerpt>[No abstract available].</excerpt>,89
1972,,,Physiological and psychological implications of syncope resulting from altitude-chamber training: a case report.,<title>Physiological and psychological implications of syncope resulting from altitude-chamber training: a case report.</title> <excerpt>[No abstract available].</excerpt>,98
1971,,,Secretion of 3-Methoxy-4-hydroxymandelic acid and 3-methoxy-4-hydroxyphenolacetic acid by pilots in relation to flying.,<title>Secretion of 3-Methoxy-4-hydroxymandelic acid and 3-methoxy-4-hydroxyphenolacetic acid by pilots in relation to flying.</title> <excerpt>[No abstract available].</excerpt>,117
1971,United States,"Civil Aeromedical Institute, FAA, Oklahoma City, AK, United States",Effects of alcohol ingestion on tracking performance during angular acceleration,"<title>Effects of alcohol ingestion on tracking performance during angular acceleration</title> <excerpt>Gave practice and base-line tests of tracking performance in both static (stationary) and dynamic (whole body angular acceleration) conditions to 20 male undergraduates. 10 ss then drank orange juice that contained 2 ml. Of 100-proof vodka/kg of s weight, while the others drank a control beverage.</excerpt>",69
1971,,,Crew performance as a factor of information input.,<title>Crew performance as a factor of information input.</title> <excerpt>[No abstract available].</excerpt>,7
1971,Canada,"York University, Toronto, ON, Canada",Instructions and information processing in a complex task,"<title>Instructions and information processing in a complex task</title> <excerpt>Designed 2 experiments involving a decision task with a static display analog of a radar display similar to that used in air traffic control. 50 male undergraduates were required to detect potential collision situations in a sequence of independent displays. Ss in both experiments either (a) were trained entirely with pictorial displays and provided with assumptions involved in constructing the air traffic situations, or (b) were initially trained with displays containing verbal descriptions of possible situations and not given underlying assumptions.</excerpt>",63
1971,Germany,"Justus-Liebig-Universität Gießen, Giessen, Hessen, Germany",Attitudes of air traffic controllers at frankfurt airport towards work and the orking environment,"<title>Attitudes of air traffic controllers at frankfurt airport towards work and the orking environment</title> <excerpt>As part of an opinion survey among air traffic controllers at Frankfurt Airport questions wore asked as to attitudes towards work and working conditions. A relo.tively high percentage of the controllers in question declared that they wore satisfied with their job, but at the same time relatively high dissatisfaction could bo recognized regarding important factors such as administration, pay and working conditions. The possible cause of this discrepancy is discussed.</excerpt>",89
1971,Germany,"Institute Arbcitswisscnschaft, Technische Universität Darmstadt, Darmstadt, Hessen, Germany",The use of simulators for testing individualmental working capacity,"<title>The use of simulators for testing individualmental working capacity</title> <excerpt>Simulation in ergonomics research is defined as purposeful experimentation on models of work situations. The operator, who determines the functional relationship between stress and strain, is interpreted as the unit of individual mental working capacity. A theory of mental stress, built up with concepts from formal logic, systems theory and information theory, is presented.</excerpt>",3
1971,,,"Trial-and-error versus errorless learning: training, transfer, and stress.","<title>Trial-and-error versus errorless learning: training, transfer, and stress.</title> <excerpt>[No abstract available].</excerpt>",84
1971,France,"Institute Recherches on Informatiquet Antomatiquo (Projet B.G.A.C., France",Analysis of mental processes involved in air traffic control,"<title>Analysis of mental processes involved in air traffic control</title> <excerpt>Tho research which is briofly presented here has been carried out, during the Inst ten years, by a team of psychologists at the Centre d'Experimentation de la Navigation Aerienno, whose aim is the automation of the air traffic control system. Tho general topic refers to the operator-computer's interactions in a. complex system.</excerpt>",0
1971,Germany,"Institute Arbeitswissenschaft, University of Technology, Pirna, Germany",The use of subjective rating,<title>The use of subjective rating</title> <excerpt>To evaluate work load in Ate tasks the method of subjective rating has been applied in addition to the recording of physiological data and objective work factors. A scoring method and a. procedure for observer rating have been used to record variations in the subjective feeling of work load.</excerpt>,5
1971,Netherlands,"Laboratory for Ergonomics Psychology of the Organization for Health Research TNO, Netherlands",Standards of acceptable load in ate tasks,<title>Standards of acceptable load in ate tasks</title> <excerpt>Mental load in ATe tasks is described as the brain controlling the controller's controlling performance. A moment of conscious brain control is put forward as a unit to quantify this kind of mental load. New action programs are supposed to require conscious brain control at every step of their execution; with routine this would be less and less the case.</excerpt>,64
1971,Germany,"University of Technology, Pirna, Germany",The human operator in air traffic control systems,"<title>The human operator in air traffic control systems</title> <excerpt>A short system analysis of the air traffic control systems with respect to their purpose and realization shows the role which the human operator plays. The task of man in this system call be determined as information processing. Evaluation of these tasks is important for selection of personal, for job evaluation, and for redesigning tasks and jobs in order to fulfill the tasks of ATe in future.</excerpt>",0
1971,,,Anxiety associated with flying: a retrospective survey of military aircrew psychiatric casualties.,<title>Anxiety associated with flying: a retrospective survey of military aircrew psychiatric casualties.</title> <excerpt>[No abstract available].</excerpt>,12
1971,,,A psychophysical evaluation of the accuracy of shape discrimination as an aircraft landing aid.,<title>A psychophysical evaluation of the accuracy of shape discrimination as an aircraft landing aid.</title> <excerpt>[No abstract available].</excerpt>,43
1971,Japan,"Department of Hygiene and Preventive Medicine, School of Medicine, Sakura, Japan",Maintaining concentration (Taf) as a measure of mental stress,"<title>Maintaining concentration (Taf) as a measure of mental stress</title> <excerpt>Fatigue has been discussed both in physiological and psychological terms. Undoubtedly these two aspects of fatigue interact upon each other and it may be difficult to distinguish between the two. It is known that a certain degree of change in human functions caused by work-lead may result in lowered activity, and produce a Subjective feeling of fatigue.</excerpt>",-1
1971,,,Fatigue and stress in air traffic controllers,<title>Fatigue and stress in air traffic controllers</title> <excerpt>[No abstract available].</excerpt>,89
1970,United States,"University of Washington, Seattle, WA, United States",Sentence completion correlates of airline pilot attitude and proficiency.,<title>Sentence completion correlates of airline pilot attitude and proficiency.</title> <excerpt>[No abstract available].</excerpt>,10
1970,,,Illusions of pitch induced by centripetal acceleration.,<title>Illusions of pitch induced by centripetal acceleration.</title> <excerpt>[No abstract available].</excerpt>,39
1970,,,Study of simulated airline pilot incapacitation; phase 1--obvious and maximal loss of function.,<title>Study of simulated airline pilot incapacitation; phase 1--obvious and maximal loss of function.</title> <excerpt>[No abstract available].</excerpt>,100
1970,,,Motion sickness in USAF flying personnel.,<title>Motion sickness in USAF flying personnel.</title> <excerpt>[No abstract available].</excerpt>,33
1970,,,Evaluation of the sympatho-adrenals activity in pilots by determination of urinary catecholamines during supersonic flight.,<title>Evaluation of the sympatho-adrenals activity in pilots by determination of urinary catecholamines during supersonic flight.</title> <excerpt>[No abstract available].</excerpt>,42
1970,,,Study of pilots who have made multiple ejections.,<title>Study of pilots who have made multiple ejections.</title> <excerpt>[No abstract available].</excerpt>,92
1970,Canada,"York University, Toronto, ON, Canada",Effects of information load and instructions on performance in a complex task,<title>Effects of information load and instructions on performance in a complex task</title> <excerpt>Employed a decision task designed with a static display analogue of a radar display similar to that used in air traffic control. The analogue allowed formal information load to vary independently of numerosity. Ss detected potential collision situations in a sequence of independent displays.</excerpt>,63
1970,,,The history of psychology in the royal Australian air force,<title>The history of psychology in the royal Australian air force</title> <excerpt>Psychological testing was introduced in the RAAF to meet the demands of a war‐time situation. Tests were validated against success in training and cutoff levels for the various entry categories were determined. The tests were subsequently modified for use in the Permanent Air Force and special batteries were introduced for aircrew and officer candidates.</excerpt>,30
1970,,,Conversion reactions in student aviators.,<title>Conversion reactions in student aviators.</title> <excerpt>[No abstract available].</excerpt>,59
1970,United Kingdom,"Department of Psychiatry, The University of Edinburgh, Edinburgh, Scotland, United Kingdom",Flying Phobia: Phenomenological Study,<title>Flying Phobia: Phenomenological Study</title> <excerpt>[No abstract available].</excerpt>,71
1970,United States,"Lockheed Martin Corporation, Bethesda, MD, United States",The relationship of the physiology of disease to flight safety,<title>The relationship of the physiology of disease to flight safety</title> <excerpt>[No abstract available].</excerpt>,117
1970,,,Differential adrenocortical stress responses in naval aviators during aircraft carrier landing practice.,<title>Differential adrenocortical stress responses in naval aviators during aircraft carrier landing practice.</title> <excerpt>[No abstract available].</excerpt>,36
1970,,,Psychological measures in aircrew.,<title>Psychological measures in aircrew.</title> <excerpt>[No abstract available].</excerpt>,43
1970,,,The psychological effects of rapid shifts in temporal referents.,<title>The psychological effects of rapid shifts in temporal referents.</title> <excerpt>[No abstract available].</excerpt>,23
1969,,,Year-long medico-engineering experiment in a partially closed ecological system.,<title>Year-long medico-engineering experiment in a partially closed ecological system.</title> <excerpt>[No abstract available].</excerpt>,23
1969,,,Circadian rhythms before and after a flight from India.,<title>Circadian rhythms before and after a flight from India.</title> <excerpt>[No abstract available].</excerpt>,62
1969,,,Some relations between personality factors and job performance ratings in radar controllers.,<title>Some relations between personality factors and job performance ratings in radar controllers.</title> <excerpt>[No abstract available].</excerpt>,10
1969,,,Avoidance and escape behavior controlled by artificial gravity.,<title>Avoidance and escape behavior controlled by artificial gravity.</title> <excerpt>[No abstract available].</excerpt>,39
1969,,,Effectiveness of space crew performance subsequent to sudden sleep arousal.,<title>Effectiveness of space crew performance subsequent to sudden sleep arousal.</title> <excerpt>[No abstract available].</excerpt>,23
1969,,,Psychological studies of aging in pilots.,<title>Psychological studies of aging in pilots.</title> <excerpt>[No abstract available].</excerpt>,6
1969,,,Preliminary impressions of cardiovascular function in the study of physiologic and psychologic aging in professional pilots.,<title>Preliminary impressions of cardiovascular function in the study of physiologic and psychologic aging in professional pilots.</title> <excerpt>[No abstract available].</excerpt>,6
1969,,,Anticipatory stress and flight stress in F-102 pilots.,<title>Anticipatory stress and flight stress in F-102 pilots.</title> <excerpt>[No abstract available].</excerpt>,36
1969,,,Perceptual style differences between airline pilots and engineers.,<title>Perceptual style differences between airline pilots and engineers.</title> <excerpt>[No abstract available].</excerpt>,10
1969,,,"Comparison of speech materials recorded in room air at ground level and in a helium-oxygen mixture at a simulated altitude of 18,000 feet.","<title>Comparison of speech materials recorded in room air at ground level and in a helium-oxygen mixture at a simulated altitude of 18,000 feet.</title> <excerpt>[No abstract available].</excerpt>",65
1969,,,Development of an aviation combat criterion.,<title>Development of an aviation combat criterion.</title> <excerpt>[No abstract available].</excerpt>,107
1969,,,Psychopathology of airline stewardesses.,<title>Psychopathology of airline stewardesses.</title> <excerpt>[No abstract available].</excerpt>,117
1969,,,Function of the Vestibular Analyzer in Space Flights,<title>Function of the Vestibular Analyzer in Space Flights</title> <excerpt>[No abstract available].</excerpt>,23
1969,United Kingdom,"Department of Psychiatry, Royal Aircraft Establishment, Farnborough, Hampshire, United Kingdom",Prevalence of worry in normal aircrew,<title>Prevalence of worry in normal aircrew</title> <excerpt>[No abstract available].</excerpt>,12
1969,United States,"Dunlap and Associates, Inc., Santa Monica, CA, United States",Operational Measures of Aircraft Carrier Landing System Performance,"<title>Operational Measures of Aircraft Carrier Landing System Performance</title> <excerpt>Measures of final landing approach performance during day and night aircraft carrier recovery are analyzed and interpreted. Approximately 1,800 recoveries were recorded for experienced and inexperienced pilots across four aircraft carriers, six different types of jet aircraft, and various environmental conditions. The salient features of the findings are reviewed and evaluated for their operational implications, with special emphasis on night carrier recovery.</excerpt>",32
1968,,,Side-effects of 1-hyoscine and cyclizine studied by objective tests.,<title>Side-effects of 1-hyoscine and cyclizine studied by objective tests.</title> <excerpt>[No abstract available].</excerpt>,33
1968,,,Transfer of habituation of motion sickness on change in body position between vertical and horizontal in a rotating environment.,<title>Transfer of habituation of motion sickness on change in body position between vertical and horizontal in a rotating environment.</title> <excerpt>[No abstract available].</excerpt>,40
1968,,,Performance decrement in a flight simulator due to galvanic stimulation of the vestibular organ and its validity for success in flight training.,<title>Performance decrement in a flight simulator due to galvanic stimulation of the vestibular organ and its validity for success in flight training.</title> <excerpt>[No abstract available].</excerpt>,23
1968,,,College performance as a predictor of the flight training success of NROTC students.,<title>College performance as a predictor of the flight training success of NROTC students.</title> <excerpt>[No abstract available].</excerpt>,109
1968,,,Somatic responses and performance levels during anticipatory physical-threat stress.,<title>Somatic responses and performance levels during anticipatory physical-threat stress.</title> <excerpt>[No abstract available].</excerpt>,36
1968,,,On-line personnel testing for naval aviation.,<title>On-line personnel testing for naval aviation.</title> <excerpt>[No abstract available].</excerpt>,10
1968,,,'Neural noise' as a factor limiting 'channel capacity'.,<title>'Neural noise' as a factor limiting 'channel capacity'.</title> <excerpt>[No abstract available].</excerpt>,14
1967,,,Imponderables of isolation.,<title>Imponderables of isolation.</title> <excerpt>[No abstract available].</excerpt>,23
1967,,,Daedalus and Icarus revisited: interpersonal aspects of flight instruction.,<title>Daedalus and Icarus revisited: interpersonal aspects of flight instruction.</title> <excerpt>[No abstract available].</excerpt>,59
1967,,,Psychological factors in flying fatigue.,<title>Psychological factors in flying fatigue.</title> <excerpt>[No abstract available].</excerpt>,107
1967,,,Emotional factors in aircraft accidents.,<title>Emotional factors in aircraft accidents.</title> <excerpt>[No abstract available].</excerpt>,28
1967,,,Psychiatric consultations and civil aviation medicine.,<title>Psychiatric consultations and civil aviation medicine.</title> <excerpt>[No abstract available].</excerpt>,12
1967,,,Emotional suitability for a flying career.,<title>Emotional suitability for a flying career.</title> <excerpt>[No abstract available].</excerpt>,28
1967,,,The use of normative data in the psychological evaluation of flying personnel.,<title>The use of normative data in the psychological evaluation of flying personnel.</title> <excerpt>[No abstract available].</excerpt>,43
1967,,,Personality and achievement of air traffic controllers.,<title>Personality and achievement of air traffic controllers.</title> <excerpt>[No abstract available].</excerpt>,89
1967,,,Stress in helicopter personnel,<title>Stress in helicopter personnel</title> <excerpt>[No abstract available].</excerpt>,36
1967,,,Psychomotor adaption to flight.,<title>Psychomotor adaption to flight.</title> <excerpt>[No abstract available].</excerpt>,117
1967,United States,"The Franklin Institute, Philadelphia, PA, United States",LEVEL OF PROFICIENCY AND MULTIDIMENSIONAL VIEWPOINTS ABOUT PROBLEM SIMILARITY,"<title>LEVEL OF PROFICIENCY AND MULTIDIMENSIONAL VIEWPOINTS ABOUT PROBLEM SIMILARITY</title> <excerpt>THE OBJECT OF THIS RESEARCH WAS TO DETERMINE WHETHER INDIVIDUAL CONSISTENCIES IN JUDGMENTS OF PROBLEM SIMILARITY ARE RELATED TO THE PROFICIENCY LEVEL OF THE JUDGES. 51 RADAR CONTROLLERS OF VARYING LEVELS OF EXPERIENCE AND COMPETENCY WERE ASKED TO JUDGE THE DEGREE OF SIMILARITY AMONG 30 AIR-TRAFFIC CONTROL STIMULI USING THE METHOD OF SUCCESSIVE INTERVALS. THESE DATA WERE ANALYZED ACCORDING TO THE ""POINTS-OF-VIEW"" PROCEDURES DEVELOPED BY TUCKER AND MESSICK.</excerpt>",-1
1967,,,Second-order factors in air traffic control specialists.,<title>Second-order factors in air traffic control specialists.</title> <excerpt>[No abstract available].</excerpt>,89
1967,United States,"University of Delaware, Newark, DE, United States",Individual differences in phase shifts of the human circadian system and performance deficit.,"<title>Individual differences in phase shifts of the human circadian system and performance deficit.</title> <excerpt>At periodic intervals throughout the biological day, assessments were made for a week prior to intercontinental flight yielding a reference of biological time set to the environment of origin, for two weeks at the temporally displaced environment of destination, and for a week following return to the environment of origin. Assessments made included rectal temperature, heart rate, respiratory rate, palmar evaporative water loss, urinalysis, reaction time, decision time, critical flicker fusion, subjective fatigue and well-being, and intellectual facility. The intercontinental flights consisted of east-west and west-east flights which permitted a comparative analysis of bidirectional effects of time zone displacements and a north-south flight which provided an appraisal of effects solely attributable to prolonged flight.</excerpt>",24
1967,,,Innovations in military corrections.,<title>Innovations in military corrections.</title> <excerpt>[No abstract available].</excerpt>,46
1966,,,A second study of factors affecting aircrew morale.,<title>A second study of factors affecting aircrew morale.</title> <excerpt>[No abstract available].</excerpt>,43
1966,,,Voluntary withdrawal from primary flight training as a function of the individual flight instructor.,<title>Voluntary withdrawal from primary flight training as a function of the individual flight instructor.</title> <excerpt>[No abstract available].</excerpt>,59
1966,,,"Endocrine, metabolic and behavioral aspects of isolation stress on female albino mice.","<title>Endocrine, metabolic and behavioral aspects of isolation stress on female albino mice.</title> <excerpt>[No abstract available].</excerpt>",23
1966,,,Personality development; applications of theory to problems of aerospace selection.,<title>Personality development; applications of theory to problems of aerospace selection.</title> <excerpt>[No abstract available].</excerpt>,10
1966,United States,"Oberlin College and Conservatory, Oberlin, OH, United States",A preliminary study of a test for air traffic controllers,"<title>A preliminary study of a test for air traffic controllers</title> <excerpt>A test, employing the analogies format, was constructed from diagrams representing jet aircraft on a radar scope. Ss were air flight controllers; from their verbalized reactions to the test problems, sketches were prepared describing each S's attitudes and methods of handling the potential confrontations indicated. When these sketches were read to 3 members of the training staff of the Oberlin FAA Center, each judge made a perfect score in identifying the Ss.</excerpt>",13
1966,,,The compulsive flyer.,<title>The compulsive flyer.</title> <excerpt>[No abstract available].</excerpt>,104
1966,United States,"Joint Base San Antonio, San Antonio, TX, United States",Potential Value of Educational Background Data in the Selection and Classification of Military Personnel,<title>Potential Value of Educational Background Data in the Selection and Classification of Military Personnel</title> <excerpt>[No abstract available].</excerpt>,10
1966,Japan,"Depertment of Oto-Rhino-Laryngology Gifu Medical School, Japan",Spatial disorientation: So-called vertigo,"<title>Spatial disorientation: So-called vertigo</title> <excerpt>This report describes statistic investigation on pilots experiences, indicates occurences and influences upon pilot's control, and discusses possibility of preventation and alleviation by training of spatial disorientation, with the knowledge acquired through questionnaire survey, interview investigation, lives as pilot, and discussion with many other pilots about “vertigo”. The questionaires covered three areas of interest; frequency of occurrence, degree and duration of three directional disorientation, namely pitch, bank and yaw directional disorientation according to writers classification. The questionaires submitted by 87 pilots revealed 100% of the pilots had experienced one or more episodes of spatial disorientation.</excerpt>",11
1966,,,Psychiatric and psychological problems in commercial aviation.,<title>Psychiatric and psychological problems in commercial aviation.</title> <excerpt>[No abstract available].</excerpt>,12
1966,,,"Age differences in the rate of gain of information, signal detection strategy and cardiovascular status among pilots.","<title>Age differences in the rate of gain of information, signal detection strategy and cardiovascular status among pilots.</title> <excerpt>[No abstract available].</excerpt>",6
1965,United States,"Psychiatry Branch, U.S. Air Force School of Aerospace Medicine, Dayton, OH, United States",Psychiatric Selection of Candidates for Space Missions,<title>Psychiatric Selection of Candidates for Space Missions</title> <excerpt>Psychiatrists are being called on to provide consultations in situations of increasing variability and complexity from their traditional role. The wide scope of psychiatry as a medical specialty allows for the appropriateness of such requests. But divergence from the traditional role raises problems.</excerpt>,87
1965,,,EFFECTS OF SECOBARBITAL AND D-AMPHETAMINE ON PERFORMANCE DURING A SIMULATED AIR MISSION.,<title>EFFECTS OF SECOBARBITAL AND D-AMPHETAMINE ON PERFORMANCE DURING A SIMULATED AIR MISSION.</title> <excerpt>[No abstract available].</excerpt>,23
1965,,,COPING AND DEVELOPMENTAL THEORY: APPLICABILITY TO SELECTIVE STUDY OF NORMAL MEN.,<title>COPING AND DEVELOPMENTAL THEORY: APPLICABILITY TO SELECTIVE STUDY OF NORMAL MEN.</title> <excerpt>[No abstract available].</excerpt>,10
1965,,,RELATIONSHIP BETWEEN VERTICAL ORIENTATION IN THE ROD AND FRAME TEST AND IN A COMPENSATORY TRACKING TASK.,<title>RELATIONSHIP BETWEEN VERTICAL ORIENTATION IN THE ROD AND FRAME TEST AND IN A COMPENSATORY TRACKING TASK.</title> <excerpt>[No abstract available].</excerpt>,63
1965,United States,"Department of Psychiatry, New York State Psychiatric Institute, New York, NY, United States",The “Break-Off” Phenomenon: A Precipitant of Anxiety in Jet Aviators,"<title>The “Break-Off” Phenomenon: A Precipitant of Anxiety in Jet Aviators</title> <excerpt>Icarus, flushed with excitement and exhilaration, soared even higher toward the sun—despite the cries and warnings of his father. At last he flew so high that the heat of the sun melted the wax, and off dropped the wings. CONTEMPORARY developments in bioastronautics have challenged the once held assumption that “man is a sea-level, lowspeed, one G, 12-hour animal.”49 The physical dangers of space flight for the astronaut previously anticipated with uncertainty, have thus far been technologically overcome.2,4,7,9 But even after the successes of recent short-term space explorations,26,27 the question of man's capacity to withstand the emotional and psychological effects of sensory isolation and deprivation is not fully answered.* It is now thought, however, that the use of two-man teams will obviate in large part the hazards of acute sensory deprivation.52 In 1957, Clark and Graybiel found in their study of the.</excerpt>",124
