,year,publication,title,abstract,excerpt,doc
1079,1983,German Journal of Psychology,Aviation psychology in Germany,,,<title>Aviation psychology in Germany</title>
1080,1945,Psychological Bulletin,Aviation psychology in the Army Air Forces,,,<title>Aviation psychology in the Army Air Forces</title>
1081,1972,"British journal of psychology (London, England : 1953)",Selective attention and performance in dangerous environments,,,<title>Selective attention and performance in dangerous environments</title>
1082,2018,Applied ergonomics,Learning flight procedures by enacting and receiving feedback,"Learning flight procedures is part of any pilot training. The conventional learning method consists in learning and practicing the procedure written on a sheet of paper along with printed images of the cockpit. The purpose of the present paper was to test the efficiency of a tactile interactive multimedia training tool designed to foster the self-regulated learning of flight procedures, especially through enacting relevant gestures and providing feedback. Results showed that learning with this tool did not lead to significant shorter learning times than with the conventional learning. However, on a delayed retention test in a real A320 cockpit simulator, learners of the experimental group performed the procedure more rapidly than those of the control group. Results suggested that a training tool that incites learners to perform similar gestures than those in the real environment and that provides feedback, helped learners to transform declarative into procedural knowledge.Learning flight procedures is part of any pilot training. The conventional learning method consists in learning and practicing the procedure written on a sheet of paper along with printed images of the cockpit. The purpose of the present paper was to test the efficiency of a tactile interactive multimedia training tool designed to foster the self-regulated learning of flight procedures, especially through enacting relevant gestures and providing feedback. Results showed that learning with this tool did not lead to significant shorter learning times than with the conventional learning. However, on a delayed retention test in a real A320 cockpit simulator, learners of the experimental group performed the procedure more rapidly than those of the control group. Results suggested that a training tool that incites learners to perform similar gestures than those in the real environment and that provides feedback, helped learners to transform declarative into procedural knowledge.","Learning flight procedures is part of any pilot training. The conventional learning method consists in learning and practicing the procedure written on a sheet of paper along with printed images of the cockpit. The purpose of the present paper was to test the efficiency of a tactile interactive multimedia training tool designed to foster the self-regulated learning of flight procedures, especially through enacting relevant gestures and providing feedback.","<title>Learning flight procedures by enacting and receiving feedback</title> <excerpt>Learning flight procedures is part of any pilot training. The conventional learning method consists in learning and practicing the procedure written on a sheet of paper along with printed images of the cockpit. The purpose of the present paper was to test the efficiency of a tactile interactive multimedia training tool designed to foster the self-regulated learning of flight procedures, especially through enacting relevant gestures and providing feedback.</excerpt>"
1083,2018,Journal of eye movement research,Using Eye-Movement Events to Determine the Mental Workload of Surgical Residents,"These days, eye-tracking is one of the promising technologies used in different fields such as aviation, arts, sports, psychology and driving for several purposes. Even though it is being used for health purposes, studies involving eye-tracking are rare in the field of endo-neurosurgery. This study aims to use this technology to promote our understanding of the effect related to computer-based instructional materials on mental workload of endo-neurosurgery residents. Four computer-based simulation scenarios are developed based on skill development requirements of endo-neurosurgery residents. Two of them were designed as general models and the other two as simulated surgical models. During these surgery procedures, in real settings, surgical residents need to use their both hands simultaneously to control the endoscope and the operational tool in a coordinated fashion. Therefore, to shed light on the participants' behaviors, these scenarios are performed with dominant-hand, non-dominant hand and, finally with both-hands using haptic interfaces. Twenty-three residents volunteered in this study. Their eye-movements were recorded while performing the scenarios. According to the results of this study, when performing the simulated surgical models, an increase in the participants' mental workload was recorded when compared to the other scenarios. Accordingly, it can be concluded that the eye-movements of surgical residents can provide insights about the anticipated level of difficulty about the skill-based tasks. This information might be very critical to properly design and organize instructional materials for endo-neurosurgery, and also to better guide and evaluate the progress of trainees in computer simulation-based skill training environments.These days, eye-tracking is one of the promising technologies used in different fields such as aviation, arts, sports, psychology and driving for several purposes. Even though it is being used for health purposes, studies involving eye-tracking are rare in the field of endo-neurosurgery. This study aims to use this technology to promote our understanding of the effect related to computer-based instructional materials on mental workload of endo-neurosurgery residents. Four computer-based simulation scenarios are developed based on skill development requirements of endo-neurosurgery residents. Two of them were designed as general models and the other two as simulated surgical models. During these surgery procedures, in real settings, surgical residents need to use their both hands simultaneously to control the endoscope and the operational tool in a coordinated fashion. Therefore, to shed light on the participants' behaviors, these scenarios are performed with dominant-hand, non-dominant hand and, finally with both-hands using haptic interfaces. Twenty-three residents volunteered in this study. Their eye-movements were recorded while performing the scenarios. According to the results of this study, when performing the simulated surgical models, an increase in the participants' mental workload was recorded when compared to the other scenarios. Accordingly, it can be concluded that the eye-movements of surgical residents can provide insights about the anticipated level of difficulty about the skill-based tasks. This information might be very critical to properly design and organize instructional materials for endo-neurosurgery, and also to better guide and evaluate the progress of trainees in computer simulation-based skill training environments.","These days, eye-tracking is one of the promising technologies used in different fields such as aviation, arts, sports, psychology and driving for several purposes. Even though it is being used for health purposes, studies involving eye-tracking are rare in the field of endo-neurosurgery. This study aims to use this technology to promote our understanding of the effect related to computer-based instructional materials on mental workload of endo-neurosurgery residents.","<title>Using Eye-Movement Events to Determine the Mental Workload of Surgical Residents</title> <excerpt>These days, eye-tracking is one of the promising technologies used in different fields such as aviation, arts, sports, psychology and driving for several purposes. Even though it is being used for health purposes, studies involving eye-tracking are rare in the field of endo-neurosurgery. This study aims to use this technology to promote our understanding of the effect related to computer-based instructional materials on mental workload of endo-neurosurgery residents.</excerpt>"
1084,1966,Aerospace medicine,Use of two qualitative indices as predictors of success in flight training,,,<title>Use of two qualitative indices as predictors of success in flight training</title>
1085,1943,Psychological Bulletin,"The aviation psychology program of the Army air forces: STAFF OF THE PSYCHOLOGICAL BRANCH, OFFICE OF THE AIR SURGEON, HEADQUARTERS ARMY AIR FORCES",,,"<title>The aviation psychology program of the Army air forces: STAFF OF THE PSYCHOLOGICAL BRANCH, OFFICE OF THE AIR SURGEON, HEADQUARTERS ARMY AIR FORCES</title>"
1086,1965,Occupational Psychology,"CASSIE, A., FOKKEMA, S. D., and PARRY, J. B. Editors. Aviation Psychology (Book Review)",,,"<title>CASSIE, A., FOKKEMA, S. D., and PARRY, J. B. Editors. Aviation Psychology (Book Review)</title>"
1087,2016,Reliability Engineering & System Safety,Phoenix - A model-based Human Reliability Analysis methodology: Qualitative Analysis Procedure,"Phoenix method is an attempt to address various issues in the field of Human Reliability Analysis (HRA). Built on a cognitive human response model, Phoenix incorporates strong elements of current HRA good practices, leverages lessons learned from empirical studies, and takes advantage of the best features of existing and emerging HRA methods. Its original framework was introduced in previous publications. This paper reports on the completed methodology, summarizing the steps and techniques of its qualitative analysis phase. The methodology introduces the ""Crew Response Tree"" which provides a structure for capturing the context associated with Human Failure Events (HFEs), including errors of omission and commission. It also uses a team-centered version of the Information, Decision and Action cognitive model and ""macro-cognitive"" abstractions of crew behavior, as well as relevant findings from cognitive psychology literature and operating experience, to identify potential causes of failures and influencing factors during procedure-driven and knowledge-supported crew-plant interactions. The result is the set of identified HFEs and likely scenarios leading to each. The methodology itself is generic in the sense that it is compatible with various quantification methods, and can be adapted for use across different environments including nuclear, oil and gas, aerospace, aviation, and healthcare.","Phoenix method is an attempt to address various issues in the field of Human Reliability Analysis (HRA). Built on a cognitive human response model, Phoenix incorporates strong elements of current HRA good practices, leverages lessons learned from empirical studies, and takes advantage of the best features of existing and emerging HRA methods. Its original framework was introduced in previous publications.","<title>Phoenix - A model-based Human Reliability Analysis methodology: Qualitative Analysis Procedure</title> <excerpt>Phoenix method is an attempt to address various issues in the field of Human Reliability Analysis (HRA). Built on a cognitive human response model, Phoenix incorporates strong elements of current HRA good practices, leverages lessons learned from empirical studies, and takes advantage of the best features of existing and emerging HRA methods. Its original framework was introduced in previous publications.</excerpt>"
1088,1948,Review of Educational Research,Aviation Psychology in the United States Navy.,,,<title>Aviation Psychology in the United States Navy.</title>
1089,2016,Analytical Chemistry,Application of LC-MS-Based Global Metabolomic Profiling Methods to Human Mental Fatigue,"Mental fatigue is characterized by a reduced capacity for work and a loss of capacity to respond to stimulation and is usually accompanied by a feeling of tiredness and drowsiness. Mental fatigue at work is a serious problem and can raise safety concerns especially in the transportation system. It is believed that mental fatigue is a direct or contributing cause of road and air related accidents and incidents. Psychological studies indicate that fatigue results in reduced work efficiency, alertness, and impaired mental performance. However, its underlying biochemical mechanisms are poorly understood. We hypothesized that the human body is an integrated system, and mental fatigue results in changes not only in psychology but also in biochemistry of the human body. These biochemical changes are detectable in metabolites. We employed global metabolomic profiling methods to screen biochemical changes that occur with mental fatigue in air traffic controllers (ATCs) in civil aviation. A total of 45, all male, ATCs (two batches) were recruited as two mental fatigue groups and 23 executive staff acted as a control group for this study. The volunteers' urine samples were collected before and after their work. The samples were analyzed with liquid chromatography/mass spectrometry equipped with a polar, a weak polar, and a nonpolar column, respectively. Three candidate biomarkers were selected on the basis of statistical significance, coefficient of variance, and compared with data of the three groups. The results suggest that urine metabolites may provide a complete new clue from biochemistry to understand, monitor, and manage human mental fatigue.",Mental fatigue is characterized by a reduced capacity for work and a loss of capacity to respond to stimulation and is usually accompanied by a feeling of tiredness and drowsiness. Mental fatigue at work is a serious problem and can raise safety concerns especially in the transportation system. It is believed that mental fatigue is a direct or contributing cause of road and air related accidents and incidents.,<title>Application of LC-MS-Based Global Metabolomic Profiling Methods to Human Mental Fatigue</title> <excerpt>Mental fatigue is characterized by a reduced capacity for work and a loss of capacity to respond to stimulation and is usually accompanied by a feeling of tiredness and drowsiness. Mental fatigue at work is a serious problem and can raise safety concerns especially in the transportation system. It is believed that mental fatigue is a direct or contributing cause of road and air related accidents and incidents.</excerpt>
1090,1945,Psychological Bulletin,Naval aviation psychology. I. The field service organization,,,<title>Naval aviation psychology. I. The field service organization</title>
1091,2014,Instructional Science: An International Journal of the Learning Sciences,Enhancing Learning Outcomes in Computer-Based Training via Self-Generated Elaboration,"The present study investigated the utility of an instructional strategy known as the ""query method"" for enhancing learning outcomes in computer-based training. The query method involves an embedded guided, sentence generation task requiring elaboration of key concepts in the training material that encourages learners to ""stop and think"" about the information already presented before proceeding to new concepts. This study also investigated the effect of varying the level of elaboration (low or high) prompted by the queries. Fifty-one undergraduate students from the general psychology department subject pool at a major university in the southeastern United States received instruction on the basic principles of flight via one of three versions of a computer-based tutorial (no query, low-level elaboration query, or high-level elaboration query). Participants had no prior knowledge or previous experience with the aviation domain. A one-way between-groups design was employed, with the query method serving as the independent variable and a sample size of 17 per condition. Dependent variables included knowledge organization, knowledge acquisition, and instructional efficiency. Overall, results showed that incorporating low-level elaboration queries into the training resulted in improved organization, integration, and application of task-relevant knowledge and higher instructional efficiency. High-level elaboration queries consistently failed to produce significantly better post-training outcomes, possibly due to the increased cognitive load imposed on learners during training. The discussion centers on theoretical and practical implications for promoting and assessing learning outcomes in computer-based training.","The present study investigated the utility of an instructional strategy known as the ""query method"" for enhancing learning outcomes in computer-based training. The query method involves an embedded guided, sentence generation task requiring elaboration of key concepts in the training material that encourages learners to ""stop and think"" about the information already presented before proceeding to new concepts. This study also investigated the effect of varying the level of elaboration (low or high) prompted by the queries.","<title>Enhancing Learning Outcomes in Computer-Based Training via Self-Generated Elaboration</title> <excerpt>The present study investigated the utility of an instructional strategy known as the ""query method"" for enhancing learning outcomes in computer-based training. The query method involves an embedded guided, sentence generation task requiring elaboration of key concepts in the training material that encourages learners to ""stop and think"" about the information already presented before proceeding to new concepts. This study also investigated the effect of varying the level of elaboration (low or high) prompted by the queries.</excerpt>"
1092,1946,American Psychologist,Naval Aviation Psychology. III. The Special Services Group,,,<title>Naval Aviation Psychology. III. The Special Services Group</title>
1093,1997,Mankind Quarterly,John C. Flanagan and the development of psychological surveys: the U.S. Aviation Psychology Program,"Relates how John C. Flanagan became a major pioneer of psychological testing field research as a result of a survey he conducted into factors affecting family size amongst US Army Air Corps officers. Carried out on the initiative of a small New York non-profit organization, this led to a massive government-sponsored psychological program covering US Army pilots throughout WW2. (Original abstract - amended)","Relates how John C. Flanagan became a major pioneer of psychological testing field research as a result of a survey he conducted into factors affecting family size amongst US Army Air Corps officers. Carried out on the initiative of a small New York non-profit organization, this led to a massive government-sponsored psychological program covering US Army pilots throughout WW2.","<title>John C. Flanagan and the development of psychological surveys: the U.S. Aviation Psychology Program</title> <excerpt>Relates how John C. Flanagan became a major pioneer of psychological testing field research as a result of a survey he conducted into factors affecting family size amongst US Army Air Corps officers. Carried out on the initiative of a small New York non-profit organization, this led to a massive government-sponsored psychological program covering US Army pilots throughout WW2.</excerpt>"
1094,2011,Ergonomics,World War II and other historical influences on the formation of the Ergonomics Research Society,"Little has been written about wartime ergonomics and the role this played in prompting the need for a society dedicated to ergonomics within the UK, namely the formation of the Ergonomics Research Society (ERS) in early 1950. This article aims to fill this gap in our understanding of the history of ergonomics in the UK and provide further details of the types of research undertaken by wartime research groups and committees such as the Institute of Aviation Medicine, Medical Research Council Applied Psychology Unit and the Flying Personnel Research Committee. In addition, the role of societal developments such as wartime links with the USA, the post-war drive to increase productivity and collaboration with industry and the recommendations of government committees in stimulating the work of the ERS are described in detail. This article also offers some reflection on present-day ergonomics in the UK and how this contrasts with the past. [PUBLICATION ABSTRACT]","Little has been written about wartime ergonomics and the role this played in prompting the need for a society dedicated to ergonomics within the UK, namely the formation of the Ergonomics Research Society (ERS) in early 1950. This article aims to fill this gap in our understanding of the history of ergonomics in the UK and provide further details of the types of research undertaken by wartime research groups and committees such as the Institute of Aviation Medicine, Medical Research Council Applied Psychology Unit and the Flying Personnel Research Committee. In addition, the role of societal developments such as wartime links with the USA, the post-war drive to increase productivity and collaboration with industry and the recommendations of government committees in stimulating the work of the ERS are described in detail.","<title>World War II and other historical influences on the formation of the Ergonomics Research Society</title> <excerpt>Little has been written about wartime ergonomics and the role this played in prompting the need for a society dedicated to ergonomics within the UK, namely the formation of the Ergonomics Research Society (ERS) in early 1950. This article aims to fill this gap in our understanding of the history of ergonomics in the UK and provide further details of the types of research undertaken by wartime research groups and committees such as the Institute of Aviation Medicine, Medical Research Council Applied Psychology Unit and the Flying Personnel Research Committee. In addition, the role of societal developments such as wartime links with the USA, the post-war drive to increase productivity and collaboration with industry and the recommendations of government committees in stimulating the work of the ERS are described in detail.</excerpt>"
1095,2018,The American Psychologist,Debriefs: Teams learning from doing in context,"Debriefs are a type of work meeting in which teams discuss, interpret, and learn from recent events during which they collaborated. In a variety of forms, debriefs are found across a wide range of organizational types and settings. Well-conducted debriefs can improve team effectiveness by 25% across a variety of organizations and settings. For example, the U.S. military adopted debriefs decades ago to promote learning and performance across the various services. Subsequently, debriefs have been introduced in the medical field, the fire service, aviation, education, and in a variety of organizational training and simulation environments. After a discussion of various purposes for which debriefs have been used, we proceed with a historical review of development of the concepts and use in industries and contexts. We then review the psychological factors relevant to debrief effectiveness and the outcomes for individuals, teams, and organizations that deploy debriefs. Future directions of particular interest to team researchers across a variety of psychological disciplines are presented along with a review of how best to implement debriefs from a practical perspective.","Debriefs are a type of work meeting in which teams discuss, interpret, and learn from recent events during which they collaborated. In a variety of forms, debriefs are found across a wide range of organizational types and settings. Well-conducted debriefs can improve team effectiveness by 25% across a variety of organizations and settings.","<title>Debriefs: Teams learning from doing in context</title> <excerpt>Debriefs are a type of work meeting in which teams discuss, interpret, and learn from recent events during which they collaborated. In a variety of forms, debriefs are found across a wide range of organizational types and settings. Well-conducted debriefs can improve team effectiveness by 25% across a variety of organizations and settings.</excerpt>"
1096,2004,Psychological science,Visual skills in airport-security screening,"An experiment examined visual performance in a simulated luggage-screening task. Observers participated in five sessions of a task requiring them to search for knives hidden in x-ray images of cluttered bags. Sensitivity and response times improved reliably as a result of practice. Eye movement data revealed that sensitivity increases were produced entirely by changes in observers' ability to recognize target objects, and not by changes in the effectiveness of visual scanning. Moreover, recognition skills were in part stimulus-specific, such that performance was degraded by the introduction of unfamiliar target objects. Implications for screener training are discussed.An experiment examined visual performance in a simulated luggage-screening task. Observers participated in five sessions of a task requiring them to search for knives hidden in x-ray images of cluttered bags. Sensitivity and response times improved reliably as a result of practice. Eye movement data revealed that sensitivity increases were produced entirely by changes in observers' ability to recognize target objects, and not by changes in the effectiveness of visual scanning. Moreover, recognition skills were in part stimulus-specific, such that performance was degraded by the introduction of unfamiliar target objects. Implications for screener training are discussed.",An experiment examined visual performance in a simulated luggage-screening task. Observers participated in five sessions of a task requiring them to search for knives hidden in x-ray images of cluttered bags. Sensitivity and response times improved reliably as a result of practice.,<title>Visual skills in airport-security screening</title> <excerpt>An experiment examined visual performance in a simulated luggage-screening task. Observers participated in five sessions of a task requiring them to search for knives hidden in x-ray images of cluttered bags. Sensitivity and response times improved reliably as a result of practice.</excerpt>
1097,1966,Texas medicine,Accident proneness in aviation,,,<title>Accident proneness in aviation</title>
1098,2014,PLoS ONE,Statistical Reporting Errors and Collaboration on Statistical Analyses in Psychological Science: e114876,"Statistical analysis is error prone. A best practice for researchers using statistics would therefore be to share data among co-authors, allowing double-checking of executed tasks just as co-pilots do in aviation. To document the extent to which this 'co-piloting' currently occurs in psychology, we surveyed the authors of 697 articles published in six top psychology journals and asked them whether they had collaborated on four aspects of analyzing data and reporting results, and whether the described data had been shared between the authors. We acquired responses for 49.6% of the articles and found that co-piloting on statistical analysis and reporting results is quite uncommon among psychologists, while data sharing among co-authors seems reasonably but not completely standard. We then used an automated procedure to study the prevalence of statistical reporting errors in the articles in our sample and examined the relationship between reporting errors and co-piloting. Overall, 63% of the articles contained at least one p-value that was inconsistent with the reported test statistic and the accompanying degrees of freedom, and 20% of the articles contained at least one p-value that was inconsistent to such a degree that it may have affected decisions about statistical significance. Overall, the probability that a given p-value was inconsistent was over 10%. Co-piloting was not found to be associated with reporting errors.","Statistical analysis is error prone. A best practice for researchers using statistics would therefore be to share data among co-authors, allowing double-checking of executed tasks just as co-pilots do in aviation. To document the extent to which this 'co-piloting' currently occurs in psychology, we surveyed the authors of 697 articles published in six top psychology journals and asked them whether they had collaborated on four aspects of analyzing data and reporting results, and whether the described data had been shared between the authors.","<title>Statistical Reporting Errors and Collaboration on Statistical Analyses in Psychological Science: e114876</title> <excerpt>Statistical analysis is error prone. A best practice for researchers using statistics would therefore be to share data among co-authors, allowing double-checking of executed tasks just as co-pilots do in aviation. To document the extent to which this 'co-piloting' currently occurs in psychology, we surveyed the authors of 697 articles published in six top psychology journals and asked them whether they had collaborated on four aspects of analyzing data and reporting results, and whether the described data had been shared between the authors.</excerpt>"
1099,1998,Psychology and aging,"Age, attention, expertise, and time-sharing performance","Time-sharing efficiency and resource allocation from a group of pilots with expertise in time-sharing and a group of nonpilots (ages 20-79 years) were examined. Participants performed 5 dual tasks that represented different degrees of structural similarity as characterized by the structure-specific resource model. Age, expertise, and structural similarity were found to interactively affect time-sharing performance through attentional resources. Age-related deficits in time-sharing were evident under conditions of intense attentional demands and when precise control was required. Modest expertise modulation of the age effects is likely to increase with more domain-specific time-sharing. The structure-specific resource model provided a useful framework for interpreting the relationship between aging and time-sharing performance.Time-sharing efficiency and resource allocation from a group of pilots with expertise in time-sharing and a group of nonpilots (ages 20-79 years) were examined. Participants performed 5 dual tasks that represented different degrees of structural similarity as characterized by the structure-specific resource model. Age, expertise, and structural similarity were found to interactively affect time-sharing performance through attentional resources. Age-related deficits in time-sharing were evident under conditions of intense attentional demands and when precise control was required. Modest expertise modulation of the age effects is likely to increase with more domain-specific time-sharing. The structure-specific resource model provided a useful framework for interpreting the relationship between aging and time-sharing performance.","Time-sharing efficiency and resource allocation from a group of pilots with expertise in time-sharing and a group of nonpilots (ages 20-79 years) were examined. Participants performed 5 dual tasks that represented different degrees of structural similarity as characterized by the structure-specific resource model. Age, expertise, and structural similarity were found to interactively affect time-sharing performance through attentional resources.","<title>Age, attention, expertise, and time-sharing performance</title> <excerpt>Time-sharing efficiency and resource allocation from a group of pilots with expertise in time-sharing and a group of nonpilots (ages 20-79 years) were examined. Participants performed 5 dual tasks that represented different degrees of structural similarity as characterized by the structure-specific resource model. Age, expertise, and structural similarity were found to interactively affect time-sharing performance through attentional resources.</excerpt>"
1100,2010,Theoretical Issues in Ergonomics Science,Is situation awareness all in the mind?,"This paper addresses the fundamental discipline theoretic question of whether situation awareness is a phenomenon best described by psychology, engineering or systems ergonomics. Each of these disciplines places a different emphasis on the notion of what situation awareness is and how it manifests itself. The approach from psychology places situation awareness as something that can only exist in the minds of people in a system. This means that the unit of analysis is the individual and that team situation awareness is the summation of individual situation awareness. The engineering perspective puts situation awareness in the world, represented in the artefacts and objects that people use. This means that the unit of analysis is the things that people interact with. Finally, the systems ergonomics perspective places emphasis on the interaction between people and their artefacts in the world, to propose that situation awareness functions like distributed cognition. This means that the unit of analysis is the whole socio-technical system. Each of these perspectives is presented and compared with reference to studies in aviation and other domains. It is concluded that the distributed cognition perspective of situation awareness offers the most comprehensive explanation of the phenomena observed in socio-technical systems. Socio-technical systems theory allows exploration of the social and technical sub-systems independently, which offers a theoretical framework for aligning the three views of situation awareness.","This paper addresses the fundamental discipline theoretic question of whether situation awareness is a phenomenon best described by psychology, engineering or systems ergonomics. Each of these disciplines places a different emphasis on the notion of what situation awareness is and how it manifests itself. The approach from psychology places situation awareness as something that can only exist in the minds of people in a system.","<title>Is situation awareness all in the mind?</title> <excerpt>This paper addresses the fundamental discipline theoretic question of whether situation awareness is a phenomenon best described by psychology, engineering or systems ergonomics. Each of these disciplines places a different emphasis on the notion of what situation awareness is and how it manifests itself. The approach from psychology places situation awareness as something that can only exist in the minds of people in a system.</excerpt>"
1101,2013,Time and society,Acceleration in working life: an empirical test of a sociological framework,"Although perceptions of 'acceleration' are common in everyday life, empirical studies are rare. We investigated Rosa's theoretical framework of social acceleration in working life. Based on the framework and the concept of job demands in work and organizational psychology we developed a questionnaire that distinguishes between demands for technological acceleration, demands for the acceleration of social change, and demands for the acceleration of the pace of life. The results of two studies (in the fields of office work and aviation service work) confirmed the tripartite structure of the framework and delivered evidence that employees indeed perceive acceleration-related demands in working life. Reprinted by permission of Sage Publications Ltd","Although perceptions of 'acceleration' are common in everyday life, empirical studies are rare. We investigated Rosa's theoretical framework of social acceleration in working life. Based on the framework and the concept of job demands in work and organizational psychology we developed a questionnaire that distinguishes between demands for technological acceleration, demands for the acceleration of social change, and demands for the acceleration of the pace of life.","<title>Acceleration in working life: an empirical test of a sociological framework</title> <excerpt>Although perceptions of 'acceleration' are common in everyday life, empirical studies are rare. We investigated Rosa's theoretical framework of social acceleration in working life. Based on the framework and the concept of job demands in work and organizational psychology we developed a questionnaire that distinguishes between demands for technological acceleration, demands for the acceleration of social change, and demands for the acceleration of the pace of life.</excerpt>"
1102,1920,"Science (New York, N.Y.)",RESUME OF RESEARCH IN THE PSYCHOLOGY OF AVIATION DURING THE YEAR 1919,,,<title>RESUME OF RESEARCH IN THE PSYCHOLOGY OF AVIATION DURING THE YEAR 1919</title>
1103,1998,Archives of pathology & laboratory medicine,The attributes of medical event-reporting systems: experience with a prototype medical event-reporting system for transfusion medicine,"To design, develop, and implement a prototype medical event-reporting system for use in transfusion medicine to improve transfusion safety by studying incidents and errors.OBJECTIVETo design, develop, and implement a prototype medical event-reporting system for use in transfusion medicine to improve transfusion safety by studying incidents and errors.The IDEALS concept of design was used to identify specifications for the event-reporting system, and a Delphi and subsequent nominal group technique meetings were used to reach consensus on the development of the system. An interdisciplinary panel of experts from aviation safety, nuclear power, cognitive psychology, artificial intelligence, and education and representatives of major transfusion medicine organizations participated in the development process. Setting.- Three blood centers and three hospital transfusion services implemented the reporting system.METHODSThe IDEALS concept of design was used to identify specifications for the event-reporting system, and a Delphi and subsequent nominal group technique meetings were used to reach consensus on the development of the system. An interdisciplinary panel of experts from aviation safety, nuclear power, cognitive psychology, artificial intelligence, and education and representatives of major transfusion medicine organizations participated in the development process. Setting.- Three blood centers and three hospital transfusion services implemented the reporting system.A working prototype event-reporting system was recommended and implemented. The system has seven components: detection, selection, description, classification, computation, interpretation, and local evaluation. Its unique features include no-fault reporting initiated by the individual discovering the event, who submits a report that is investigated by local quality assurance personnel and forwarded to a nonregulatory central system for computation and interpretation.RESULTSA working prototype event-reporting system was recommended and implemented. The system has seven components: detection, selection, description, classification, computation, interpretation, and local evaluation. Its unique features include no-fault reporting initiated by the individual discovering the event, who submits a report that is investigated by local quality assurance personnel and forwarded to a nonregulatory central system for computation and interpretation.An event-reporting system incorporated into present quality assurance and risk management efforts can help organizations address system structural and procedural weakness where the potential for errors can adversely affect health care outcomes. Input from the end users of the system as well as from external experts should enable this reporting system to serve as a useful model for others who may develop event-reporting systems in other medical domains.CONCLUSIONSAn event-reporting system incorporated into present quality assurance and risk management efforts can help organizations address system structural and procedural weakness where the potential for errors can adversely affect health care outcomes. Input from the end users of the system as well as from external experts should enable this reporting system to serve as a useful model for others who may develop event-reporting systems in other medical domains.","To design, develop, and implement a prototype medical event-reporting system for use in transfusion medicine to improve transfusion safety by studying incidents and errors.OBJECTIVETo design, develop, and implement a prototype medical event-reporting system for use in transfusion medicine to improve transfusion safety by studying incidents and errors.The IDEALS concept of design was used to identify specifications for the event-reporting system, and a Delphi and subsequent nominal group technique meetings were used to reach consensus on the development of the system. An interdisciplinary panel of experts from aviation safety, nuclear power, cognitive psychology, artificial intelligence, and education and representatives of major transfusion medicine organizations participated in the development process. Setting.- Three blood centers and three hospital transfusion services implemented the reporting system.METHODSThe IDEALS concept of design was used to identify specifications for the event-reporting system, and a Delphi and subsequent nominal group technique meetings were used to reach consensus on the development of the system.","<title>The attributes of medical event-reporting systems: experience with a prototype medical event-reporting system for transfusion medicine</title> <excerpt>To design, develop, and implement a prototype medical event-reporting system for use in transfusion medicine to improve transfusion safety by studying incidents and errors.OBJECTIVETo design, develop, and implement a prototype medical event-reporting system for use in transfusion medicine to improve transfusion safety by studying incidents and errors.The IDEALS concept of design was used to identify specifications for the event-reporting system, and a Delphi and subsequent nominal group technique meetings were used to reach consensus on the development of the system. An interdisciplinary panel of experts from aviation safety, nuclear power, cognitive psychology, artificial intelligence, and education and representatives of major transfusion medicine organizations participated in the development process. Setting.- Three blood centers and three hospital transfusion services implemented the reporting system.METHODSThe IDEALS concept of design was used to identify specifications for the event-reporting system, and a Delphi and subsequent nominal group technique meetings were used to reach consensus on the development of the system.</excerpt>"
1104,1993,"Aviation, space, and environmental medicine",Psychiatrists/clinical psychologists at sea,,,<title>Psychiatrists/clinical psychologists at sea</title>
1105,2010,Theoretical Issues in Ergonomics Science,Is situation awareness all in the mind?,"This paper addresses the fundamental discipline theoretic question of whether situation awareness is a phenomenon best described by psychology, engineering or systems ergonomics. Each of these disciplines places a different emphasis on the notion of what situation awareness is and how it manifests itself. The approach from psychology places situation awareness as something that can only exist in the minds of people in a system. This means that the unit of analysis is the individual and that team situation awareness is the summation of individual situation awareness. The engineering perspective puts situation awareness in the world, represented in the artefacts and objects that people use. This means that the unit of analysis is the things that people interact with. Finally, the systems ergonomics perspective places emphasis on the interaction between people and their artefacts in the world, to propose that situation awareness functions like distributed cognition. This means that the unit of analysis is the whole socio-technical system. Each of these perspectives is presented and compared with reference to studies in aviation and other domains. It is concluded that the distributed cognition perspective of situation awareness offers the most comprehensive explanation of the phenomena observed in socio-technical systems. Socio-technical systems theory allows exploration of the social and technical sub-systems independently, which offers a theoretical framework for aligning the three views of situation awareness.","This paper addresses the fundamental discipline theoretic question of whether situation awareness is a phenomenon best described by psychology, engineering or systems ergonomics. Each of these disciplines places a different emphasis on the notion of what situation awareness is and how it manifests itself. The approach from psychology places situation awareness as something that can only exist in the minds of people in a system.","<title>Is situation awareness all in the mind?</title> <excerpt>This paper addresses the fundamental discipline theoretic question of whether situation awareness is a phenomenon best described by psychology, engineering or systems ergonomics. Each of these disciplines places a different emphasis on the notion of what situation awareness is and how it manifests itself. The approach from psychology places situation awareness as something that can only exist in the minds of people in a system.</excerpt>"
