year,country,title,doc,topic
1975,United States,Human whole body exposure to infrasound,<title>Human whole body exposure to infrasound</title>,100
1975,,Personality factors in selection and flight proficiency,<title>Personality factors in selection and flight proficiency</title>,1
1975,Germany,Medical flying fitness: a routine affair - but who examines and assesses psychic health?,<title>Medical flying fitness: a routine affair - but who examines and assesses psychic health?</title>,-1
1975,United States,Disorientation phenomena in naval helicopter pilots,<title>Disorientation phenomena in naval helicopter pilots</title>,169
1975,United Kingdom,Testitis (excessive anxiety about flying checks),<title>Testitis (excessive anxiety about flying checks)</title>,66
1975,United States,Reactions to sonic booms: A report of two studies and a general evaluation of startle effects,<title>Reactions to sonic booms: A report of two studies and a general evaluation of startle effects</title>,37
1975,United States,Motion sickness questionnaire and field independence scores as predictors of success in naval aviation training,<title>Motion sickness questionnaire and field independence scores as predictors of success in naval aviation training</title>,10
1975,Belgium,Telemetric control of heart adaptation during automatic and free fall parachute jumps,<title>Telemetric control of heart adaptation during automatic and free fall parachute jumps</title>,191
1975,United States,Visual reaction times during prolonged angular acceleration parallel the subjective perception of rotation,<title>Visual reaction times during prolonged angular acceleration parallel the subjective perception of rotation</title>,65
1975,United Kingdom,Subatmospheric decompression: Neurological and behavioural studies,<title>Subatmospheric decompression: Neurological and behavioural studies</title>,101
1975,United States,Air travel across time zones,<title>Air travel across time zones</title>,95
1974,Chile,Medical experience in survival,<title>Medical experience in survival</title>,-1
1974,United States,Medical legacy of Apollo,<title>Medical legacy of Apollo</title>,67
1974,United States,Psychobiologic aspects of double crew long duration missions in C-5 aircraft,<title>Psychobiologic aspects of double crew long duration missions in C-5 aircraft</title>,32
1974,United States,Psychiatric interventions with amnesic aircraft accident survivors,<title>Psychiatric interventions with amnesic aircraft accident survivors</title>,-1
1974,United States,Some human factors in the flying physician,<title>Some human factors in the flying physician</title>,164
1974,,Human factors in helicopter flying,<title>Human factors in helicopter flying</title>,120
1974,United Kingdom,A community health program with low achieving adolescents,<title>A community health program with low achieving adolescents</title>,0
1974,Norway,Additional heart rate - an indicator of psychological activation,<title>Additional heart rate - an indicator of psychological activation</title>,126
1974,Netherlands,Cardiological aspects of the aging pilot,<title>Cardiological aspects of the aging pilot</title>,5
1974,United States,Rotary acceleration of a subject inhibits choice reaction time to motion in peripheral vision,<title>Rotary acceleration of a subject inhibits choice reaction time to motion in peripheral vision</title>,65
1974,,Case report of an in-flight incident involving an aircraft commander with a psychiatric illness.,<title>Case report of an in-flight incident involving an aircraft commander with a psychiatric illness.</title>,0
1974,,Stress and the air traffic controller,<title>Stress and the air traffic controller</title>,69
1974,United Kingdom,Effects of domestic stress upon flying proficiency,<title>Effects of domestic stress upon flying proficiency</title>,82
1974,United States,The role of man in system safety,<title>The role of man in system safety</title>,104
1974,Canada,Evaluation of tissue postmortem lactates in accident investigation using an animal model,<title>Evaluation of tissue postmortem lactates in accident investigation using an animal model</title>,197
1974,United States,Basis for an instrument to predict blackout tolerance,<title>Basis for an instrument to predict blackout tolerance</title>,114
1974,United States,"Behavior of naive subjects during rapid decompression from 8,000 to 30,000 feet","<title>Behavior of naive subjects during rapid decompression from 8,000 to 30,000 feet</title>",101
1974,United States,Behavior of naive subjects during decompression: an evaluation of automatically presented passenger oxygen equipment,<title>Behavior of naive subjects during decompression: an evaluation of automatically presented passenger oxygen equipment</title>,101
1973,United States,Comparison of the job attitudes of personnel in three air traffic control specialties,<title>Comparison of the job attitudes of personnel in three air traffic control specialties</title>,119
1973,United Kingdom,Physical energy expenditure in long haul cabin crew,<title>Physical energy expenditure in long haul cabin crew</title>,-1
1973,United States,Stress and strain in student helicopter pilots,<title>Stress and strain in student helicopter pilots</title>,175
1973,United States,Psychological aspects of aircrews involved in escape and evasion activities,<title>Psychological aspects of aircrews involved in escape and evasion activities</title>,35
1973,United States,Need satisfaction in the identification of the DOR,<title>Need satisfaction in the identification of the DOR</title>,-1
1973,United States,"Hypertension, Peptic Ulcer, and Diabetes in Air Traffic Controllers","<title>Hypertension, Peptic Ulcer, and Diabetes in Air Traffic Controllers</title>",138
1973,United States,Color versus numeric coding in a keeping-track task: Performance under varying load conditions,<title>Color versus numeric coding in a keeping-track task: Performance under varying load conditions</title>,157
1973,,Utilization of human voice for estimation of man's emotional stress and state of attention.,<title>Utilization of human voice for estimation of man's emotional stress and state of attention.</title>,141
1973,,Happy Landing,<title>Happy Landing</title>,143
1973,United Kingdom,Neurological Aspects of Aviation Medicine: Neurological aspects of disorientation in aircrew,<title>Neurological Aspects of Aviation Medicine: Neurological aspects of disorientation in aircrew</title>,54
1973,United Kingdom,Neurological Aspects of Aviation Medicine: Studies on the nervous system of a pilot during the approach and landing of a transport aircraft,<title>Neurological Aspects of Aviation Medicine: Studies on the nervous system of a pilot during the approach and landing of a transport aircraft</title>,54
1973,,Some psychological and engineering aspects of the extravehicular activity of astronauts.,<title>Some psychological and engineering aspects of the extravehicular activity of astronauts.</title>,188
1973,United States,Psychologic and psychopathologic aspects of behavior during airline pilot transition training,<title>Psychologic and psychopathologic aspects of behavior during airline pilot transition training</title>,35
1973,United States,Self-estimates of distractibility as related to performance decrement on a task requiring sustained attention,<title>Self-estimates of distractibility as related to performance decrement on a task requiring sustained attention</title>,-1
1973,United Kingdom,The effects of core temperature elevation and thermal sensation on performance,<title>The effects of core temperature elevation and thermal sensation on performance</title>,49
1972,,California psychological inventory as a predictor of success in the naval flight program.,<title>California psychological inventory as a predictor of success in the naval flight program.</title>,-1
1972,,Pilot incapacitation: an expression of convergent factors.,<title>Pilot incapacitation: an expression of convergent factors.</title>,54
1972,,Positioning of aircrews--ultima ratio of G protection?,<title>Positioning of aircrews--ultima ratio of G protection?</title>,-1
1972,,Airline pilot incapacitation in flight.,<title>Airline pilot incapacitation in flight.</title>,54
1972,United States,Effects of instructions on measures of state and trait anxiety in flight students,<title>Effects of instructions on measures of state and trait anxiety in flight students</title>,176
1972,,Psychiatric and psychological research in the Navy before World War II.,<title>Psychiatric and psychological research in the Navy before World War II.</title>,-1
1972,,Medical factors in unlimited class air racing accidents.,<title>Medical factors in unlimited class air racing accidents.</title>,-1
1972,,Psychosocial reconstruction inventory: a postdictal instrument in aircraft accident investigation.,<title>Psychosocial reconstruction inventory: a postdictal instrument in aircraft accident investigation.</title>,52
1972,,Task of a medical department in civil aviation.,<title>Task of a medical department in civil aviation.</title>,11
1972,,Desynchronization of body temperature and performance circadian rhythm as a result of outgoing and homegoing transmeridian flights.,<title>Desynchronization of body temperature and performance circadian rhythm as a result of outgoing and homegoing transmeridian flights.</title>,95
1972,United Kingdom,Medical Aspects of Aerospace Travel: Nychthemeral Rhythms in Long-Distance Flights [Abstract],<title>Medical Aspects of Aerospace Travel: Nychthemeral Rhythms in Long-Distance Flights [Abstract]</title>,95
1972,United States,Random living schedule: Psychological effects in man,<title>Random living schedule: Psychological effects in man</title>,33
1972,United Kingdom,SELECTIVE ATTENTION AND PERFORMANCE IN DANGEROUS ENVIRONMENTS,<title>SELECTIVE ATTENTION AND PERFORMANCE IN DANGEROUS ENVIRONMENTS</title>,4
1972,,Human thresholds for perceiving sudden changes in atmospheric pressure.,<title>Human thresholds for perceiving sudden changes in atmospheric pressure.</title>,65
1972,,Apparatus for programmed oral administration of drugs to large primates in altered environments.,<title>Apparatus for programmed oral administration of drugs to large primates in altered environments.</title>,67
1972,,Modifications of living schedules and circadian rhythms with special reference to performance.,<title>Modifications of living schedules and circadian rhythms with special reference to performance.</title>,33
1972,,Attitudes and motivations of air traffic controllers in terminal areas.,<title>Attitudes and motivations of air traffic controllers in terminal areas.</title>,119
1972,,Physiological and psychological implications of syncope resulting from altitude-chamber training: a case report.,<title>Physiological and psychological implications of syncope resulting from altitude-chamber training: a case report.</title>,56
1971,,Secretion of 3-Methoxy-4-hydroxymandelic acid and 3-methoxy-4-hydroxyphenolacetic acid by pilots in relation to flying.,<title>Secretion of 3-Methoxy-4-hydroxymandelic acid and 3-methoxy-4-hydroxyphenolacetic acid by pilots in relation to flying.</title>,96
1971,United States,Effects of alcohol ingestion on tracking performance during angular acceleration,<title>Effects of alcohol ingestion on tracking performance during angular acceleration</title>,148
1971,,Crew performance as a factor of information input.,<title>Crew performance as a factor of information input.</title>,-1
1971,Canada,Instructions and information processing in a complex task,<title>Instructions and information processing in a complex task</title>,157
1971,Germany,Attitudes of air traffic controllers at frankfurt airport towards work and the orking environment,<title>Attitudes of air traffic controllers at frankfurt airport towards work and the orking environment</title>,119
1971,Germany,The use of simulators for testing individualmental working capacity,<title>The use of simulators for testing individualmental working capacity</title>,126
1971,,"Trial-and-error versus errorless learning: training, transfer, and stress.","<title>Trial-and-error versus errorless learning: training, transfer, and stress.</title>",34
1971,France,Analysis of mental processes involved in air traffic control,<title>Analysis of mental processes involved in air traffic control</title>,53
1971,Germany,The use of subjective rating,<title>The use of subjective rating</title>,-1
1971,Netherlands,Standards of acceptable load in ate tasks,<title>Standards of acceptable load in ate tasks</title>,42
1971,Germany,The human operator in air traffic control systems,<title>The human operator in air traffic control systems</title>,149
1971,,Anxiety associated with flying: a retrospective survey of military aircrew psychiatric casualties.,<title>Anxiety associated with flying: a retrospective survey of military aircrew psychiatric casualties.</title>,-1
1971,,A psychophysical evaluation of the accuracy of shape discrimination as an aircraft landing aid.,<title>A psychophysical evaluation of the accuracy of shape discrimination as an aircraft landing aid.</title>,12
1971,Japan,Maintaining concentration (Taf) as a measure of mental stress,<title>Maintaining concentration (Taf) as a measure of mental stress</title>,74
1971,,Fatigue and stress in air traffic controllers,<title>Fatigue and stress in air traffic controllers</title>,138
1970,United States,Sentence completion correlates of airline pilot attitude and proficiency.,<title>Sentence completion correlates of airline pilot attitude and proficiency.</title>,83
1970,,Illusions of pitch induced by centripetal acceleration.,<title>Illusions of pitch induced by centripetal acceleration.</title>,65
1970,,Study of simulated airline pilot incapacitation; phase 1--obvious and maximal loss of function.,<title>Study of simulated airline pilot incapacitation; phase 1--obvious and maximal loss of function.</title>,54
1970,,Motion sickness in USAF flying personnel.,<title>Motion sickness in USAF flying personnel.</title>,10
1970,,Evaluation of the sympatho-adrenals activity in pilots by determination of urinary catecholamines during supersonic flight.,<title>Evaluation of the sympatho-adrenals activity in pilots by determination of urinary catecholamines during supersonic flight.</title>,96
1970,,Study of pilots who have made multiple ejections.,<title>Study of pilots who have made multiple ejections.</title>,115
1970,Canada,Effects of information load and instructions on performance in a complex task,<title>Effects of information load and instructions on performance in a complex task</title>,157
1970,,The history of psychology in the royal Australian air force,<title>The history of psychology in the royal Australian air force</title>,-1
1970,,Conversion reactions in student aviators.,<title>Conversion reactions in student aviators.</title>,-1
1970,United Kingdom,Flying Phobia: Phenomenological Study,<title>Flying Phobia: Phenomenological Study</title>,158
1970,United States,The relationship of the physiology of disease to flight safety,<title>The relationship of the physiology of disease to flight safety</title>,-1
1970,,Differential adrenocortical stress responses in naval aviators during aircraft carrier landing practice.,<title>Differential adrenocortical stress responses in naval aviators during aircraft carrier landing practice.</title>,205
1970,,Psychological measures in aircrew.,<title>Psychological measures in aircrew.</title>,21
1970,,The psychological effects of rapid shifts in temporal referents.,<title>The psychological effects of rapid shifts in temporal referents.</title>,4
1969,,Year-long medico-engineering experiment in a partially closed ecological system.,<title>Year-long medico-engineering experiment in a partially closed ecological system.</title>,17
1969,,Circadian rhythms before and after a flight from India.,<title>Circadian rhythms before and after a flight from India.</title>,95
1969,,Some relations between personality factors and job performance ratings in radar controllers.,<title>Some relations between personality factors and job performance ratings in radar controllers.</title>,83
1969,,Avoidance and escape behavior controlled by artificial gravity.,<title>Avoidance and escape behavior controlled by artificial gravity.</title>,58
1969,,Effectiveness of space crew performance subsequent to sudden sleep arousal.,<title>Effectiveness of space crew performance subsequent to sudden sleep arousal.</title>,9
1969,,Psychological studies of aging in pilots.,<title>Psychological studies of aging in pilots.</title>,5
1969,,Preliminary impressions of cardiovascular function in the study of physiologic and psychologic aging in professional pilots.,<title>Preliminary impressions of cardiovascular function in the study of physiologic and psychologic aging in professional pilots.</title>,5
1969,,Anticipatory stress and flight stress in F-102 pilots.,<title>Anticipatory stress and flight stress in F-102 pilots.</title>,200
1969,,Perceptual style differences between airline pilots and engineers.,<title>Perceptual style differences between airline pilots and engineers.</title>,159
1969,,"Comparison of speech materials recorded in room air at ground level and in a helium-oxygen mixture at a simulated altitude of 18,000 feet.","<title>Comparison of speech materials recorded in room air at ground level and in a helium-oxygen mixture at a simulated altitude of 18,000 feet.</title>",6
1969,,Development of an aviation combat criterion.,<title>Development of an aviation combat criterion.</title>,75
1969,,Psychopathology of airline stewardesses.,<title>Psychopathology of airline stewardesses.</title>,184
1969,,Function of the Vestibular Analyzer in Space Flights,<title>Function of the Vestibular Analyzer in Space Flights</title>,4
1969,United Kingdom,Prevalence of worry in normal aircrew,<title>Prevalence of worry in normal aircrew</title>,-1
1969,United States,Operational Measures of Aircraft Carrier Landing System Performance,<title>Operational Measures of Aircraft Carrier Landing System Performance</title>,-1
1968,,Side-effects of 1-hyoscine and cyclizine studied by objective tests.,<title>Side-effects of 1-hyoscine and cyclizine studied by objective tests.</title>,73
1968,,Transfer of habituation of motion sickness on change in body position between vertical and horizontal in a rotating environment.,<title>Transfer of habituation of motion sickness on change in body position between vertical and horizontal in a rotating environment.</title>,73
1968,,Performance decrement in a flight simulator due to galvanic stimulation of the vestibular organ and its validity for success in flight training.,<title>Performance decrement in a flight simulator due to galvanic stimulation of the vestibular organ and its validity for success in flight training.</title>,4
1968,,College performance as a predictor of the flight training success of NROTC students.,<title>College performance as a predictor of the flight training success of NROTC students.</title>,38
1968,,Somatic responses and performance levels during anticipatory physical-threat stress.,<title>Somatic responses and performance levels during anticipatory physical-threat stress.</title>,82
1968,,On-line personnel testing for naval aviation.,<title>On-line personnel testing for naval aviation.</title>,-1
1968,,'Neural noise' as a factor limiting 'channel capacity'.,<title>'Neural noise' as a factor limiting 'channel capacity'.</title>,-1
1967,,Imponderables of isolation.,<title>Imponderables of isolation.</title>,45
1967,,Daedalus and Icarus revisited: interpersonal aspects of flight instruction.,<title>Daedalus and Icarus revisited: interpersonal aspects of flight instruction.</title>,112
1967,,Psychological factors in flying fatigue.,<title>Psychological factors in flying fatigue.</title>,0
1967,,Emotional factors in aircraft accidents.,<title>Emotional factors in aircraft accidents.</title>,52
1967,,Psychiatric consultations and civil aviation medicine.,<title>Psychiatric consultations and civil aviation medicine.</title>,11
1967,,Emotional suitability for a flying career.,<title>Emotional suitability for a flying career.</title>,80
1967,,The use of normative data in the psychological evaluation of flying personnel.,<title>The use of normative data in the psychological evaluation of flying personnel.</title>,146
1967,,Personality and achievement of air traffic controllers.,<title>Personality and achievement of air traffic controllers.</title>,98
1967,,Stress in helicopter personnel,<title>Stress in helicopter personnel</title>,175
1967,,Psychomotor adaption to flight.,<title>Psychomotor adaption to flight.</title>,185
1967,United States,LEVEL OF PROFICIENCY AND MULTIDIMENSIONAL VIEWPOINTS ABOUT PROBLEM SIMILARITY,<title>LEVEL OF PROFICIENCY AND MULTIDIMENSIONAL VIEWPOINTS ABOUT PROBLEM SIMILARITY</title>,42
1967,,Second-order factors in air traffic control specialists.,<title>Second-order factors in air traffic control specialists.</title>,98
1967,United States,Individual differences in phase shifts of the human circadian system and performance deficit.,<title>Individual differences in phase shifts of the human circadian system and performance deficit.</title>,33
1967,,Innovations in military corrections.,<title>Innovations in military corrections.</title>,-1
1966,,A second study of factors affecting aircrew morale.,<title>A second study of factors affecting aircrew morale.</title>,-1
1966,,Voluntary withdrawal from primary flight training as a function of the individual flight instructor.,<title>Voluntary withdrawal from primary flight training as a function of the individual flight instructor.</title>,-1
1966,,"Endocrine, metabolic and behavioral aspects of isolation stress on female albino mice.","<title>Endocrine, metabolic and behavioral aspects of isolation stress on female albino mice.</title>",88
1966,,Personality development; applications of theory to problems of aerospace selection.,<title>Personality development; applications of theory to problems of aerospace selection.</title>,1
1966,United States,A preliminary study of a test for air traffic controllers,<title>A preliminary study of a test for air traffic controllers</title>,28
1966,,The compulsive flyer.,<title>The compulsive flyer.</title>,81
1966,United States,Potential Value of Educational Background Data in the Selection and Classification of Military Personnel,<title>Potential Value of Educational Background Data in the Selection and Classification of Military Personnel</title>,76
1966,Japan,Spatial disorientation: So-called vertigo,<title>Spatial disorientation: So-called vertigo</title>,4
1966,,Psychiatric and psychological problems in commercial aviation.,<title>Psychiatric and psychological problems in commercial aviation.</title>,11
1966,,"Age differences in the rate of gain of information, signal detection strategy and cardiovascular status among pilots.","<title>Age differences in the rate of gain of information, signal detection strategy and cardiovascular status among pilots.</title>",5
1965,United States,Psychiatric Selection of Candidates for Space Missions,<title>Psychiatric Selection of Candidates for Space Missions</title>,13
1965,,EFFECTS OF SECOBARBITAL AND D-AMPHETAMINE ON PERFORMANCE DURING A SIMULATED AIR MISSION.,<title>EFFECTS OF SECOBARBITAL AND D-AMPHETAMINE ON PERFORMANCE DURING A SIMULATED AIR MISSION.</title>,108
1965,,COPING AND DEVELOPMENTAL THEORY: APPLICABILITY TO SELECTIVE STUDY OF NORMAL MEN.,<title>COPING AND DEVELOPMENTAL THEORY: APPLICABILITY TO SELECTIVE STUDY OF NORMAL MEN.</title>,146
1965,,RELATIONSHIP BETWEEN VERTICAL ORIENTATION IN THE ROD AND FRAME TEST AND IN A COMPENSATORY TRACKING TASK.,<title>RELATIONSHIP BETWEEN VERTICAL ORIENTATION IN THE ROD AND FRAME TEST AND IN A COMPENSATORY TRACKING TASK.</title>,198
1965,United States,The “Break-Off” Phenomenon: A Precipitant of Anxiety in Jet Aviators,<title>The “Break-Off” Phenomenon: A Precipitant of Anxiety in Jet Aviators</title>,66
1965,United States,Drugs in aerospace medicine,<title>Drugs in aerospace medicine</title>,67
1964,,INTEGRATED HUMAN RESEARCH AND AEROSPACE MEDICINE.,<title>INTEGRATED HUMAN RESEARCH AND AEROSPACE MEDICINE.</title>,67
1964,,AN EXAMINATION OF CERTAIN AIRCREW MEDICAL SELECTION STANDARDS IN NATO NATIONS.,<title>AN EXAMINATION OF CERTAIN AIRCREW MEDICAL SELECTION STANDARDS IN NATO NATIONS.</title>,76
1964,United States,The Effect of Rule Flexibility on System Adaptation,<title>The Effect of Rule Flexibility on System Adaptation</title>,90
1964,United States,Schematic Simulation: A Technique for the Design and Development of a Complex System,<title>Schematic Simulation: A Technique for the Design and Development of a Complex System</title>,31
1963,,Selection procedures for non-pilot naval aviation officers,<title>Selection procedures for non-pilot naval aviation officers</title>,22
1963,United States,United States experience on the utilization of man's capabilities in a space environment.,<title>United States experience on the utilization of man's capabilities in a space environment.</title>,2
1962,,An appraisal of psychological stress.,<title>An appraisal of psychological stress.</title>,88
1962,,In-flight suggestibility.,<title>In-flight suggestibility.</title>,-1
1961,United States,Supervisory procedures and work-team productivity,<title>Supervisory procedures and work-team productivity</title>,46
1961,,Psychological effects of space flight.,<title>Psychological effects of space flight.</title>,108
1961,United States,A comparison of two methods of training in a complex task by means of task stimulation,<title>A comparison of two methods of training in a complex task by means of task stimulation</title>,-1
1960,,Psychiatry and space flight,<title>Psychiatry and space flight</title>,-1
1960,,Performance and habitability aspects of extended confinement in sealed cabins.,<title>Performance and habitability aspects of extended confinement in sealed cabins.</title>,2
1959,,Adaptability screening of flying personnel; preliminary analysis and,<title>Adaptability screening of flying personnel; preliminary analysis and</title>,105
1958,,Predicition of flight training attrition by grade slips for first ten,<title>Predicition of flight training attrition by grade slips for first ten</title>,-1
1958,,Adaptability screening of flying personnel; cross-validation of the,<title>Adaptability screening of flying personnel; cross-validation of the</title>,105
1958,,Emotional G in airsickness.,<title>Emotional G in airsickness.</title>,-1
1958,,Pilot reactions during Man-high II balloon flight.,<title>Pilot reactions during Man-high II balloon flight.</title>,81
1958,,The relation of age to success in flight training.,<title>The relation of age to success in flight training.</title>,5
1958,,Preventive medicine in naval aviation training; the cooperative efforts,<title>Preventive medicine in naval aviation training; the cooperative efforts</title>,11
1958,,The use of the MMPI in the psychological evaluation of pilots.,<title>The use of the MMPI in the psychological evaluation of pilots.</title>,48
1958,,Psychological causes in aircraft accidents.,<title>Psychological causes in aircraft accidents.</title>,52
1958,United States,Research on human factors of aerial warfare,<title>Research on human factors of aerial warfare</title>,-1
1958,United States,"Communication restraints, group flexibility, and group confidence","<title>Communication restraints, group flexibility, and group confidence</title>",72
1958,United Kingdom,Environmental and occupational problems in the Royal Air Force,<title>Environmental and occupational problems in the Royal Air Force</title>,115
1958,United States,Effectiveness of a forced-choice leadership test under varied experimental conditions,<title>Effectiveness of a forced-choice leadership test under varied experimental conditions</title>,34
1957,,Methods for the rational assembly of aircrews.,<title>Methods for the rational assembly of aircrews.</title>,22
1957,,Attitudes and motivations of test pilots.,<title>Attitudes and motivations of test pilots.</title>,-1
1957,,Correlates of manifest anxiety in beginning pilot trainees.,<title>Correlates of manifest anxiety in beginning pilot trainees.</title>,176
1957,,Psychiatric screening of ground-crew in the Royal Canadian Air Force.,<title>Psychiatric screening of ground-crew in the Royal Canadian Air Force.</title>,136
1957,,Psychiatric screening of combat pilots: correction of the record.,<title>Psychiatric screening of combat pilots: correction of the record.</title>,136
1957,United States,Four techniques of group decision making under uncertainty,<title>Four techniques of group decision making under uncertainty</title>,-1
1957,,Psychologic and sociologic aspects of survival ration acceptability,<title>Psychologic and sociologic aspects of survival ration acceptability</title>,45
1956,,Further developments on adaptability screening of flying personnel.,<title>Further developments on adaptability screening of flying personnel.</title>,105
1956,,An investigation on morale.,<title>An investigation on morale.</title>,-1
1956,,Some notes on the psychological analysis of the pilot's task.,<title>Some notes on the psychological analysis of the pilot's task.</title>,112
1956,,Psychosis in military fliers; an analysis of seventy-seven cases.,<title>Psychosis in military fliers; an analysis of seventy-seven cases.</title>,0
1956,,The Stipple test: a follow-up study.,<title>The Stipple test: a follow-up study.</title>,-1
1956,,Psychiatric screening of combat pilots.,<title>Psychiatric screening of combat pilots.</title>,136
1956,,Fear of flying in Korea.,<title>Fear of flying in Korea.</title>,177
1955,,A field service program in military mental hygiene.,<title>A field service program in military mental hygiene.</title>,-1
1955,United States,PSYCHIATRIC SCREENING OF FLYING PERSONNEL WITH THE CORNELL WORD FORM,<title>PSYCHIATRIC SCREENING OF FLYING PERSONNEL WITH THE CORNELL WORD FORM</title>,136
1955,,Development of a personality test battery for psychiatric screening of flying personnel.,<title>Development of a personality test battery for psychiatric screening of flying personnel.</title>,1
1954,,The stipple test.,<title>The stipple test.</title>,-1
1954,,Remarks on psychological and psychiatric methods of selection and assessment of flying personnel.,<title>Remarks on psychological and psychiatric methods of selection and assessment of flying personnel.</title>,146
1954,,Selection of first officers for a commercial airline.,<title>Selection of first officers for a commercial airline.</title>,22
1954,,Studies in the evaluation of the personality characteristics of successful naval aviators.,<title>Studies in the evaluation of the personality characteristics of successful naval aviators.</title>,1
1954,,"Incidence, classification and nature of errors made by crews in air carrier (airline) accidents.","<title>Incidence, classification and nature of errors made by crews in air carrier (airline) accidents.</title>",63
1954,,Measurement of personality variables by degree relevance.,<title>Measurement of personality variables by degree relevance.</title>,-1
1954,United States,Prediction of flying success by clinical analysis of test protocols,<title>Prediction of flying success by clinical analysis of test protocols</title>,38
1954,,"Understanding the ""fear of flying"" syndrome","<title>Understanding the ""fear of flying"" syndrome</title>",177
1954,United States,Authoritarianism and leadership choice in a military setting,<title>Authoritarianism and leadership choice in a military setting</title>,-1
1954,,Psycho-physiological problems of aging in air transport pilots,<title>Psycho-physiological problems of aging in air transport pilots</title>,-1
1954,,"Psychiatric problems in aging, with reference to aero medicine.","<title>Psychiatric problems in aging, with reference to aero medicine.</title>",-1
1954,,Emotional adjustment of radar observers in jet fighter interceptor aircraft.,<title>Emotional adjustment of radar observers in jet fighter interceptor aircraft.</title>,80
1954,United States,Motivational variables in the assuming of combat obligation,<title>Motivational variables in the assuming of combat obligation</title>,1
1954,United States,An analysis of some clinical judgments on male basic airmen who failed the group psychological tests,<title>An analysis of some clinical judgments on male basic airmen who failed the group psychological tests</title>,146
1953,,Response to a life stress: evaluation of some biochemical indices,<title>Response to a life stress: evaluation of some biochemical indices</title>,88
1953,,The effects of drugs upon psychological efficiency,<title>The effects of drugs upon psychological efficiency</title>,108
1953,,Fascination: a cause of pilot error.,<title>Fascination: a cause of pilot error.</title>,-1
1953,,Psychological aspects of modern operational flying.,<title>Psychological aspects of modern operational flying.</title>,35
1953,,Psychological aspects of combat flying.,<title>Psychological aspects of combat flying.</title>,35
1953,,The flight nurse as a leader.,<title>The flight nurse as a leader.</title>,78
1952,,Some observations on the psychology of the aviator.,<title>Some observations on the psychology of the aviator.</title>,112
1952,United States,A comparison of three criteria of aircrew effectiveness in combat over Korea,<title>A comparison of three criteria of aircrew effectiveness in combat over Korea</title>,192
1952,United States,Postwar research in pilot selection and classification,<title>Postwar research in pilot selection and classification</title>,22
1951,,Personality research in naval aviation selection.,<title>Personality research in naval aviation selection.</title>,1
1951,United Kingdom,THE PSYCHOLOGICAL RELATIONSHIP BETWEEN MAN AND AIRCRAFT,<title>THE PSYCHOLOGICAL RELATIONSHIP BETWEEN MAN AND AIRCRAFT</title>,52
1950,United States,Measurement of a complex psychomotor performance by means of a printed test,<title>Measurement of a complex psychomotor performance by means of a printed test</title>,-1
1950,United States,Evaluation of aircraft instrument displays for use with the omni-directional radio range (VOR),<title>Evaluation of aircraft instrument displays for use with the omni-directional radio range (VOR)</title>,-1
1949,,ARMY Air Forces aviation psychology program research reports; special,<title>ARMY Air Forces aviation psychology program research reports; special</title>,127
1949,United States,Psychophysiological studies of motion sickness and airsickness,<title>Psychophysiological studies of motion sickness and airsickness</title>,10
1949,United States,The effects of repeated rotary acceleration on the oculo-gyral illusion,<title>The effects of repeated rotary acceleration on the oculo-gyral illusion</title>,65
1949,United States,The airline pilot's job,<title>The airline pilot's job</title>,-1
1948,,Psychological research at the AAF School of Aviation Medicine,<title>Psychological research at the AAF School of Aviation Medicine</title>,133
1948,,Of what importance are psychological factors in motion sickness?,<title>Of what importance are psychological factors in motion sickness?</title>,10
1948,,Chapter III: Psychological Research in the AAF Aviation Psychology Program,<title>Chapter III: Psychological Research in the AAF Aviation Psychology Program</title>,133
1948,,Chapter II: Aviation Psychology in the United States Navy,<title>Chapter II: Aviation Psychology in the United States Navy</title>,-1
1948,,An early attempt to evaluate psychological fitness for flight training,<title>An early attempt to evaluate psychological fitness for flight training</title>,146
1948,,Some lessons from aviation psychology,<title>Some lessons from aviation psychology</title>,112
1947,,Psychological principles involved in aiming and directing objects in,<title>Psychological principles involved in aiming and directing objects in</title>,35
1947,United States,Selection of aircraft engineering draftsmen and designers,<title>Selection of aircraft engineering draftsmen and designers</title>,22
1947,,Psychological requirements of the airplane pilot.,<title>Psychological requirements of the airplane pilot.</title>,35
1947,United States,Validation of naval aviation cadet selection tests against training criteria,<title>Validation of naval aviation cadet selection tests against training criteria</title>,76
1947,,Research reports of the AAF aviation psychology program.,<title>Research reports of the AAF aviation psychology program.</title>,133
1947,,Psychology and blood pressure in certain flying personnel,<title>Psychology and blood pressure in certain flying personnel</title>,-1
1947,,Emotional disturbances encountered in carrier pilots,<title>Emotional disturbances encountered in carrier pilots</title>,80
1947,,Psychological research on equipment design in the AAF,<title>Psychological research on equipment design in the AAF</title>,133
1947,United States,The use of psychological techniques in measuring and critically analyzing Navigators' flight performance,<title>The use of psychological techniques in measuring and critically analyzing Navigators' flight performance</title>,21
1947,,A comparison of ASTP psychology graduates with other groups in the AAF Classification School,<title>A comparison of ASTP psychology graduates with other groups in the AAF Classification School</title>,-1
1947,,Naval aviation psychology; the central research groups,<title>Naval aviation psychology; the central research groups</title>,140
1947,,PSYCHOLOGICAL impact of aircraft accidents.,<title>PSYCHOLOGICAL impact of aircraft accidents.</title>,52
1947,,The motivations of the flyer and his reactions to the stresses of flight,<title>The motivations of the flyer and his reactions to the stresses of flight</title>,81
